"","ID_LC1","ID_LC2","variable","value"
"1",1,1,"COUNT",562823
"2",2,1,"COUNT",0
"3",3,1,"COUNT",0
"4",4,1,"COUNT",0
"5",5,1,"COUNT",0
"6",6,1,"COUNT",0
"7",7,1,"COUNT",0
"8",8,1,"COUNT",0
"9",9,1,"COUNT",0
"10",10,1,"COUNT",0
"11",11,1,"COUNT",0
"12",12,1,"COUNT",0
"13",13,1,"COUNT",0
"14",14,1,"COUNT",0
"15",15,1,"COUNT",0
"16",16,1,"COUNT",0
"17",17,1,"COUNT",0
"18",18,1,"COUNT",0
"19",19,1,"COUNT",0
"20",20,1,"COUNT",0
"21",21,1,"COUNT",0
"22",22,1,"COUNT",0
"23",23,1,"COUNT",0
"24",1,2,"COUNT",17681
"25",2,2,"COUNT",786338
"26",3,2,"COUNT",0
"27",4,2,"COUNT",0
"28",5,2,"COUNT",0
"29",6,2,"COUNT",0
"30",7,2,"COUNT",0
"31",8,2,"COUNT",0
"32",9,2,"COUNT",80
"33",10,2,"COUNT",0
"34",11,2,"COUNT",0
"35",12,2,"COUNT",0
"36",13,2,"COUNT",0
"37",14,2,"COUNT",0
"38",15,2,"COUNT",0
"39",16,2,"COUNT",0
"40",17,2,"COUNT",0
"41",18,2,"COUNT",0
"42",19,2,"COUNT",0
"43",20,2,"COUNT",0
"44",21,2,"COUNT",0
"45",22,2,"COUNT",0
"46",23,2,"COUNT",0
"47",1,3,"COUNT",0
"48",2,3,"COUNT",0
"49",3,3,"COUNT",0
"50",4,3,"COUNT",0
"51",5,3,"COUNT",0
"52",6,3,"COUNT",0
"53",7,3,"COUNT",0
"54",8,3,"COUNT",0
"55",9,3,"COUNT",0
"56",10,3,"COUNT",0
"57",11,3,"COUNT",0
"58",12,3,"COUNT",0
"59",13,3,"COUNT",0
"60",14,3,"COUNT",0
"61",15,3,"COUNT",0
"62",16,3,"COUNT",0
"63",17,3,"COUNT",0
"64",18,3,"COUNT",0
"65",19,3,"COUNT",0
"66",20,3,"COUNT",0
"67",21,3,"COUNT",0
"68",22,3,"COUNT",0
"69",23,3,"COUNT",0
"70",1,4,"COUNT",0
"71",2,4,"COUNT",0
"72",3,4,"COUNT",0
"73",4,4,"COUNT",53
"74",5,4,"COUNT",0
"75",6,4,"COUNT",0
"76",7,4,"COUNT",0
"77",8,4,"COUNT",0
"78",9,4,"COUNT",0
"79",10,4,"COUNT",0
"80",11,4,"COUNT",0
"81",12,4,"COUNT",0
"82",13,4,"COUNT",0
"83",14,4,"COUNT",0
"84",15,4,"COUNT",0
"85",16,4,"COUNT",0
"86",17,4,"COUNT",0
"87",18,4,"COUNT",0
"88",19,4,"COUNT",0
"89",20,4,"COUNT",0
"90",21,4,"COUNT",0
"91",22,4,"COUNT",0
"92",23,4,"COUNT",0
"93",1,5,"COUNT",0
"94",2,5,"COUNT",0
"95",3,5,"COUNT",0
"96",4,5,"COUNT",0
"97",5,5,"COUNT",2638
"98",6,5,"COUNT",0
"99",7,5,"COUNT",0
"100",8,5,"COUNT",0
"101",9,5,"COUNT",0
"102",10,5,"COUNT",0
"103",11,5,"COUNT",0
"104",12,5,"COUNT",0
"105",13,5,"COUNT",0
"106",14,5,"COUNT",0
"107",15,5,"COUNT",0
"108",16,5,"COUNT",0
"109",17,5,"COUNT",0
"110",18,5,"COUNT",0
"111",19,5,"COUNT",0
"112",20,5,"COUNT",0
"113",21,5,"COUNT",0
"114",22,5,"COUNT",0
"115",23,5,"COUNT",0
"116",1,6,"COUNT",0
"117",2,6,"COUNT",0
"118",3,6,"COUNT",0
"119",4,6,"COUNT",0
"120",5,6,"COUNT",64
"121",6,6,"COUNT",20838
"122",7,6,"COUNT",0
"123",8,6,"COUNT",0
"124",9,6,"COUNT",0
"125",10,6,"COUNT",0
"126",11,6,"COUNT",0
"127",12,6,"COUNT",0
"128",13,6,"COUNT",0
"129",14,6,"COUNT",0
"130",15,6,"COUNT",0
"131",16,6,"COUNT",0
"132",17,6,"COUNT",0
"133",18,6,"COUNT",0
"134",19,6,"COUNT",0
"135",20,6,"COUNT",0
"136",21,6,"COUNT",0
"137",22,6,"COUNT",0
"138",23,6,"COUNT",0
"139",1,7,"COUNT",0
"140",2,7,"COUNT",0
"141",3,7,"COUNT",0
"142",4,7,"COUNT",0
