"","Year","Population"
"1",2010,7481600
"2",2011,7595740
"3",2012,7709880
"4",2013,7824020
"5",2014,7938160
"6",2015,8052300
"7",2016,8155420
"8",2017,8258540
"9",2018,8361660
"10",2019,8464780
"11",2020,8567900
"12",2021,8654400
"13",2022,8740900
"14",2023,8827400
"15",2024,8913900
"16",2025,9000400
"17",2026,9069360
"18",2027,9138320
"19",2028,9207280
"20",2029,9276240
"21",2030,9345200
"22",2031,9398300
"23",2032,9451400
"24",2033,9504500
"25",2034,9557600
"26",2035,9610700
