ID,Sektor,Total_Kons,ZA,NPK,SP36,UREA,ORGANIK
1,Tanaman Pangan,1095230.752,50170.43286,213922.5178,103979.2657,717985.4187,9173.116514
2,Tanaman Hortikultura,777290.3016,43899.12875,128353.5107,96552.17532,483259.4165,25226.07041
3,Perkebunan,354926.5172,31356.52054,85569.00711,47038.23926,179496.3547,11466.39564
4,Peternakan,0,0,0,0,0,0
5,Jasa Pertanian dan Perburuan ,0,0,0,0,0,0
6,Kehutanan dan Penebangan Kayu,0,0,0,0,0,0
7,Perikanan,0,0,0,0,0,0
8,Pertambangan Minyak Gas dan Panas Bumi,0,0,0,0,0,0
9,Pertambangan Bijih Logam,0,0,0,0,0,0
10,Pertambangan dan Penggalian Lainnya,0,0,0,0,0,0
11,Industri Batubara dan Pengilangan Migas,0,0,0,0,0,0
12,Industri Makanan dan Minuman,0,0,0,0,0,0
13,Pengolahan Tembakau,0,0,0,0,0,0
14,Industri Tekstil dan Pakaian Jadi,0,0,0,0,0,0
15,Industri Kulit Barang dari Kulit dan Alas Kaki,0,0,0,0,0,0
16,Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya,0,0,0,0,0,0
17,Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman,0,0,0,0,0,0
18,Industri Kimia Farmasi dan Obat Tradisional,0,0,0,0,0,0
19,Industri Karet Barang dari Karet dan Plastik,0,0,0,0,0,0
20,Industri Barang Galian bukan Logam,0,0,0,0,0,0
21,Industri Logam Dasar,0,0,0,0,0,0
22,Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik,0,0,0,0,0,0
23,Industri Mesin dan Perlengkapan YTDL,0,0,0,0,0,0
24,Industri Alat Angkutan,0,0,0,0,0,0
25,Industri Furnitur,0,0,0,0,0,0
26,Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan,0,0,0,0,0,0
27,Ketenagalistrikan,0,0,0,0,0,0
28,Pengadaan Gas dan Produksi Es,0,0,0,0,0,0
29,Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang,0,0,0,0,0,0
30,Konstruksi,0,0,0,0,0,0
31,Perdagangan Mobil Sepeda Motor dan Reparasinya,0,0,0,0,0,0
32,Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor,0,0,0,0,0,0
33,Angkutan Rel,0,0,0,0,0,0
34,Angkutan Darat,0,0,0,0,0,0
35,Angkutan Laut,0,0,0,0,0,0
36,Angkutan Sungai Danau dan Penyeberangan,0,0,0,0,0,0
37,Angkutan Udara,0,0,0,0,0,0
38,Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir,0,0,0,0,0,0
39,Penyediaan Akomodasi,0,0,0,0,0,0
40,Penyediaan Makan Minum,0,0,0,0,0,0
41,Informasi dan Komunikasi,0,0,0,0,0,0
42,Jasa Perantara Keuangan,0,0,0,0,0,0
43,Asuransi dan Dana Pensiun,0,0,0,0,0,0
44,Jasa Keuangan Lainnya,0,0,0,0,0,0
45,Jasa Penunjang Keuangan,0,0,0,0,0,0
46,Real Estate,0,0,0,0,0,0
47,Jasa Perusahaan,0,0,0,0,0,0
48,Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib,0,0,0,0,0,0
49,Jasa Pendidikan,0,0,0,0,0,0
50,Jasa Kesehatan dan Kegiatan Sosial,0,0,0,0,0,0
51,Jasa lainnya,0,0,0,0,0,0
52,Lainnya,0,0,0,0,0,0
