sektor,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Tanaman Pangan,16612705.91,17443341.21,18315508.27,19231283.68,20192847.87,21202490.26,22262614.77,23375745.51,24544532.79,25771759.43,27060347.4,28413364.77,29834033.01,31325734.66,32892021.39
Tanaman Hortikultura,26152226.43,27459837.75,28832829.63,30274471.12,31788194.67,33377604.41,35046484.63,36798808.86,38638749.3,40570686.76,42599221.1,44729182.16,46965641.27,49313923.33,51779619.5
Perkebunan,7209861.99,7570355.09,7948872.85,8346316.49,8763632.31,9201813.93,9661904.62,10144999.86,10652249.85,11184862.34,11744105.46,12331310.73,12947876.27,13595270.08,14275033.58
Peternakan,17183592.05,18042771.65,18944910.23,19892155.74,20886763.53,21931101.71,23027656.79,24179039.63,25387991.62,26657391.2,27990260.76,29389773.79,30859262.48,32402225.61,34022336.89
Jasa Pertanian dan Perburuan ,5625,15581.25,26035.31,37012.08,48537.68,60639.57,73346.54,86688.87,100698.32,115408.23,130853.64,147071.32,164099.89,181979.89,200753.88
Kehutanan dan Penebangan Kayu,589916.08,619411.89,650382.48,682901.6,717046.68,752899.02,790543.97,830071.17,871574.73,915153.46,960911.14,1008956.69,1059404.53,1112374.75,1167993.49
Perikanan,13836000.66,14527800.7,15254190.73,16016900.27,16817745.28,17658632.55,18541564.17,19468642.38,20442074.5,21464178.23,22537387.14,23664256.5,24847469.32,26089842.79,27394334.93
Pertambangan Minyak Gas dan Panas Bumi,12624939.45,13256186.43,13918995.75,14614945.53,15345692.81,16112977.45,16918626.32,17764557.64,18652785.52,19585424.8,20564696.04,21592930.84,22672577.38,23806206.25,24996516.56
Pertambangan Bijih Logam,106709.87,112045.37,117647.63,123530.02,129706.52,136191.84,143001.43,150151.51,157659.08,165542.04,173819.14,182510.09,191635.6,201217.38,211278.25
Pertambangan dan Penggalian Lainnya,3501272.73,3676336.37,3860153.19,4053160.85,4255818.89,4468609.83,4692040.33,4926642.34,5172974.46,5431623.18,5703204.34,5988364.56,6287782.79,6602171.93,6932280.52
Industri Batubara dan Pengilangan Migas,47107060.97,49462414.02,51935534.72,54532311.45,57258927.03,60121873.38,63127967.05,66284365.4,69598583.67,73078512.85,76732438.5,80569060.42,84597513.44,88827389.11,93268758.57
Industri Makanan dan Minuman,134319377.7,141035346.6,148087114,155491469.7,163266043.1,171429345.3,180000812.6,189000853.2,198450895.8,208373440.6,218792112.7,229731718.3,241218304.2,253279219.4,265943180.4
Pengolahan Tembakau,3473090.43,3646744.95,3829082.2,4020536.31,4221563.12,4432641.28,4654273.34,4886987.01,5131336.36,5387903.18,5657298.34,5940163.25,6237171.42,6549029.99,6876481.49
Industri Tekstil dan Pakaian Jadi,154068940.3,161772387.3,169861006.7,178354057,187271759.9,196635347.9,206467115.3,216790471,227629994.6,239011494.3,250962069,263510172.5,276685681.1,290519965.1,305045963.4
Industri Kulit Barang dari Kulit dan Alas Kaki,16731411.65,17567982.23,18446381.34,19368700.41,20337135.43,21353992.2,22421691.81,23542776.4,24719915.22,25955910.98,27253706.53,28616391.86,30047211.45,31549572.02,33127050.63
Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya,11066001.03,11619301.08,12200266.14,12810279.44,13450793.41,14123333.09,14829499.74,15570974.73,16349523.46,17166999.64,18025349.62,18926617.1,19872947.95,20866595.35,21909925.12
Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman,12722940.24,13359087.25,14027041.61,14728393.69,15464813.38,16238054.05,17049956.75,17902454.58,18797577.31,19737456.18,20724328.99,21760545.44,22848572.71,23991001.35,25190551.41
Industri Kimia Farmasi dan Obat Tradisional,36403448.22,38223620.64,40134801.67,42141541.75,44248618.84,46461049.78,48784102.27,51223307.38,53784472.75,56473696.39,59297381.21,62262250.27,65375362.78,68644130.92,72076337.47
Industri Karet Barang dari Karet dan Plastik,11203335.15,11763501.91,12351677,12969260.85,13617723.9,14298610.09,15013540.59,15764217.62,16552428.51,17380049.93,18249052.43,19161505.05,20119580.3,21125559.32,22181837.28
Industri Barang Galian bukan Logam,1787311.48,1876677.05,1970510.91,2069036.45,2172488.28,2281112.69,2395168.32,2514926.74,2640673.08,2772706.73,2911342.07,3056909.17,3209754.63,3370242.36,3538754.48
Industri Logam Dasar,30785456.87,32324729.71,33940966.2,35638014.51,37419915.23,39290910.99,41255456.54,43318229.37,45484140.84,47758347.88,50146265.27,52653578.54,55286257.46,58050570.34,60953098.85
Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik,223924138.7,235120345.6,246876362.9,259220181.1,272181190.1,285790249.6,300079762.1,315083750.2,330837937.7,347379834.6,364748826.3,382986267.7,402135581,422242360.1,443354478.1
Industri Mesin dan Perlengkapan YTDL,86832108.45,91173713.87,95732399.56,100519019.5,105544970.5,110822219,116363330,122181496.5,128290571.3,134705099.9,141440354.9,148512372.6,155937991.3,163734890.8,171921635.4
Industri Alat Angkutan,154218468.9,161929392.4,170025862,178527155.1,187453512.8,196826188.5,206667497.9,217000872.8,227850916.5,239243462.3,251205635.4,263765917.2,276954213,290801923.7,305342019.8
Industri Furnitur,6021512.65,6322588.28,6638717.69,6970653.58,7319186.26,7685145.57,8069402.85,8472872.99,8896516.64,9341342.47,9808409.6,10298830.08,10813771.58,11354460.16,11922183.17
Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan,9042807.87,9494948.26,9969695.68,10468180.46,10991589.48,11541168.96,12118227.4,12724138.77,13360345.71,14028363,14729781.15,15466270.21,16239583.72,17051562.9,17904141.05
Ketenagalistrikan,21592735.3,22672372.07,23805990.67,24996290.2,26246104.71,27558409.95,28936330.45,30383146.97,31902304.32,33497419.53,35172290.51,36930905.03,38777450.29,40716322.8,42752138.94
Pengadaan Gas dan Produksi Es,8678336.28,9112253.09,9567865.75,10046259.03,10548571.99,11076000.59,11629800.61,12211290.65,12821855.18,13462947.94,14136095.33,14842900.1,15585045.11,16364297.36,17182512.23
