"Sektor","Kategori","y2016","y2017","y2018","y2019","y2020","y2021","y2022","y2023","y2024","y2025","y2026","y2027","y2028","y2029","y2030"
"Tanaman Pangan","Lahan",232660.503990611,243663.244045246,255216.121128551,267346.803022374,280087.974114692,293465.659762352,307512.809191134,322263.547056465,337750.581206826,354013.292138713,371089.138671578,389018.777464184,407844.898194034,427612.324954816,448363.930486214
"Tanaman Hortikultura","Lahan",196217.279110474,205773.934148779,215808.421898243,226344.64854234,237408.325594033,249027.610791403,261227.866411619,274038.264661703,287489.086319402,301612.552208965,316442.191444782,332013.312661685,348362.989917439,365530.150998379,383554.972836798
"Perkebunan","Lahan",73892.6142135709,77453.9325851793,81193.3169122807,85119.6978042613,89244.9018335079,93576.7558861874,98125.0107962489,102901.014903294,107915.700641028,113181.247900823,118710.072566028,124515.33842517,130610.867609006,137011.173212032,143728.712737091
"Peternakan","Lahan",3690.2133157364,3700.40242342544,3711.10098651122,3722.33476210523,3734.13227041789,3746.51682565783,3759.52163353417,3773.17854081491,3787.51579077134,3802.57257128589,3818.38219085152,3834.98229131795,3852.4123968674,3870.71400773877,3889.92888167707
"Jasa Pertanian dan Perburuan ","Jasa",547.3942662921,547.3942662921,547.3942662921,547.3942662921,547.3942662921,547.3942662921,547.3942662921,547.3942662921,547.3942662921,547.3942662921,547.3942662921,547.3942662921,547.3942662921,547.3942662921,547.3942662921
"Kehutanan dan Penebangan Kayu","Lahan",340.05279977032,340.573135933738,341.119488834777,341.693168109821,342.296201289326,342.929257217251,343.594091174982,344.292259311746,345.025304819256,345.795036539206,346.603254938236,347.451884160138,348.342944927722,349.278558653488,350.260209988517
"Perikanan","Lahan",3963.49457367564,3965.24054353862,3967.07381187112,3968.99882086341,3971.02041022067,3973.14261875914,3975.37121761911,3977.71173689605,3980.16858834374,3982.74902181588,3985.45847694987,3988.30340485044,3991.29057912796,3994.4271121373,3997.72023278653
"Pertambangan Minyak Gas dan Panas Bumi","Lahan",255161.305242014,255162.208401359,255163.156718663,255164.152462178,255165.198726658,255166.297325837,255167.450933744,255168.662330294,255169.934250482,255171.269816664,255172.672161155,255174.144622868,255175.690707668,255177.314096709,255179.017843118
"Pertambangan Bijih Logam","Lahan",12777.2518079653,12777.2877256756,12777.3254392646,12777.365040081,12777.4067861417,12777.4506542413,12777.4966950826,12777.5450587819,12777.5958347614,12777.6491558658,12777.7051430219,12777.7639295337,12777.8256553766,12777.8904675092,12777.9583363444
"Pertambangan dan Penggalian Lainnya","Lahan",337456.806731077,348370.253642488,359829.372851451,371862.01472689,384602.040230026,397992.862129972,412033.830362159,426787.783082969,442279.168705014,458545.411056111,475624.965791125,493558.498260836,512388.707356497,532160.426870789,552802.325050563
