"Sektor","Kategori","y2016","y2017","y2018","y2019","y2020","y2021","y2022","y2023","y2024","y2025","y2026","y2027","y2028","y2029","y2030"
"Tanaman Pangan","Lahan",240068.72384452,246329.840035741,258646.793514808,271579.59460174,285162.990995298,299426.930596162,314404.067168997,330130.060529157,346642.353550075,363980.261259628,387654.380071366,401300.107637757,421370.903030585,442445.238188031,464569.056854268
"Tanaman Hortikultura","Lahan",196923.4295083,206367.040807033,216685.64711894,227520.183832453,238896.952680999,250844.539746119,263389.506125915,276561.7208186,290392.546237972,304914.912917669,320547.030808728,336174.307291552,352985.762061258,370637.789540321,389171.877531923
"Perkebunan","Lahan",75660.9401898632,77933.8208917333,81830.7540881561,85922.533886612,90221.5881281533,94736.0553983099,99476.2459677774,104453.446144374,109679.506265876,115166.869396873,122367.08493509,126978.418577872,133330.727356627,140000.651533102,147001.197713322
"Peternakan","Lahan",3916.2839753656,4067.3113929452,4270.68073737459,4484.2185489337,4708.46375660574,4943.93098891741,5191.17158150411,5450.77420431795,5723.35695943777,6009.56885109903,6352.74900989098,6625.63994735201,6956.96598849863,7304.85833250538,7670.11264380514
"Jasa Pertanian dan Perburuan ","Jasa",588.076614527722,609.694381870594,642.636741009246,677.22621981555,713.554126917194,751.702447488475,791.758180209292,833.816702572402,877.97815190242,924.347670519549,982.791574974609,1024.15806167077,1077.83657833963,1134.19902119085,1193.36999757727
"Kehutanan dan Penebangan Kayu","Lahan",384.252639489825,379.469055123567,398.445230204037,418.370214094713,439.314545701134,461.308070054838,484.401268921403,508.649128340187,534.109380688745,560.842643908352,611.768707645712,618.38599603956,649.333092672344,681.827541472304,715.921993764758
"Perikanan","Lahan",4202.56696183041,4376.48497179318,4595.3705628591,4825.20043547946,5066.54818741843,5320.01736150093,5586.1599910385,5865.60975412948,6159.03200533303,6467.12536999839,6825.16786184165,7130.29633568119,7486.95291446493,7861.44232431284,8254.62796178164
"Pertambangan Minyak Gas dan Panas Bumi","Lahan",831279.751130717,284847.543639586,299091.038170563,314046.707350376,329761.414411584,346264.542838449,363592.82765599,381787.526769793,400891.960792764,420951.616554052,1002011.69555725,464130.025509602,487351.584482922,511734.221397912,537323.944865145
"Pertambangan Bijih Logam","Lahan",15883.729343553,14676.2430249407,15410.3451540927,16181.1525350783,16993.7105623997,17847.4342676896,18743.844192449,19685.0747037283,20673.3666202788,21711.0732309856,24707.2964290353,23944.7365290461,25146.0116292644,26407.3504405044,27728.3202005814
"Pertambangan dan Penggalian Lainnya","Lahan",360845.317940445,361577.879424098,379661.300818805,398648.893272403,418649.426033698,439650.417517089,461701.45872654,484855.051834364,509166.324690363,534693.161124109,577986.084076009,589639.676679365,619190.180777273,650218.210059784,682729.612667114
"Industri Batubara dan Pengilangan Migas","Indirect Land-based",648086.315752929,527665.706387061,554051.028071359,581755.615808028,610868.392591659,641440.229871765,673540.659016063,707246.109596695,742636.83275341,779797.092027533,964364.851509477,859784.550196918,902802.195345862,947970.722755053,995373.103318422
"Industri Makanan dan Minuman","Indirect Land-based",772951.486322711,789609.387707652,829091.407810109,870547.528619596,914091.172053793,959816.199096355,1007827.47743522,1058239.3193996,1111171.75334845,1166750.80928771,1246052.84059626,1286384.72732152,1350724.43183873,1418281.12162397,1489199.89471346
"Pengolahan Tembakau","Indirect Land-based",34794.0109099931,35882.704368886,37676.9397940956,39560.8869710603,41539.4270553651,43616.9918771654,45798.4348783508,48088.9500836777,50493.9910227797,53019.2840274186,56290.9438309573,58454.9771459518,61378.3194980394,64447.8289035606,67670.3903957724
"Industri Tekstil dan Pakaian Jadi","Industri",2733388.59794442,2709403.03318928,2844878.47864587,2987127.69532476,3136529.91428664,3293423.77073813,3458162.31998831,3631137.79564001,3812762.04681691,4003467.50935185,4356718.04304874,4413961.01891817,4634726.43009296,4866530.11144563,5109880.58876657
"Industri Kulit Barang dari Kulit dan Alas Kaki","Industri",261725.471563207,262508.700221086,275634.649592713,289416.896491621,303892.199794154,319093.258992539,335054.371169848,351813.538948157,369410.66512432,387887.647594458,419006.154711207,427659.352451763,449048.769258802,471507.65691759,495085.267794325
"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya","Indirect Land-based",139744.932515401,141258.481191278,148322.657187196,155740.041860976,163544.538885619,171739.587622701,180344.388657795,189379.429819542,198866.222941505,208827.355855888,224500.783250515,230268.694287409,241799.950648152,253907.769905297,266603.595414613
"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman","Indirect Land-based",619457.992051129,532150.800716423,558764.376676261,586708.631441132,616124.37673154,647017.147392497,679454.556532699,713513.836016579,749276.079627586,786826.435460399,938907.763200287,867653.576328554,911122.806881143,956765.499065049,1004610.82744505
"Industri Kimia Farmasi dan Obat Tradisional","Industri",1296494.17789195,1046208.24128236,1098546.60793423,1153501.89291908,1211391.14437092,1272300.24797384,1336254.80673738,1403407.09341877,1473916.99443894,1547952.39056005,1925821.55661083,1707313.58068111,1793018.8060166,1883009.29270974,1977300.01444496
"Industri Karet Barang dari Karet dan Plastik","Indirect Land-based",514711.987308189,472600.696746655,496239.444581171,521060.129878544,547235.314812441,574724.251452273,603587.634929282,633894.18760277,665716.068013179,699129.042288268,798837.049261525,771050.469598661,809730.163997281,850343.84318832,892866.766057625
"Industri Barang Galian bukan Logam","Indirect Land-based",499717.663441654,497153.822533976,522037.383171046,548165.121629273,575963.515759359,605153.057079215,635802.075442508,667983.544905623,701774.087753628,737254.157645544,800770.701158902,813625.008329593,854697.624360536,897823.871149565,942716.559342453
"Industri Logam Dasar","Industri",741846.07753949,765334.20551979,803608.822869521,843797.171033923,886105.988364529,930530.991177703,977177.244168342,1026155.80985381,1077583.30377347,1131582.17234583,1201244.87273822,1247814.73709024,1310325.1772182,1375961.13963575,1444760.04278219
"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik","Industri",4087001.87543739,4035503.46461353,4237363.37482365,4449316.28111612,4673057.3418657,4907992.54933512,5154674.51738925,5413690.5836697,5685657.45291862,5971222.66606253,6514812.08357621,6585901.78779408,6916479.21662851,7263585.51842002,7626772.94954178
"Industri Mesin dan Perlengkapan YTDL","Industri",4621944.75166611,2605231.65007298,2735511.69350445,2872305.73853359,3016108.68405723,3167158.01544331,3325759.81477907,3492291.70309342,3667150.18540268,3850751.59291566,6184322.40464625,4245953.6206352,4458495.20048693,4681663.8569682,4915809.85935953
"Industri Alat Angkutan","Industri",3754525.99868891,3517519.85792559,3693400.99992423,3878076.19944254,4072038.07768221,4275706.89782862,4489559.15755465,4714104.03072608,4949876.14858937,5197436.87084987,5861887.62108428,5730311.32658202,6016893.8071471,6317805.41360863,6633705.95891181
"Industri Furnitur","Indirect Land-based",77275.6817221018,77030.7424152939,80882.69054423,84927.2361661168,89179.5849442034,93644.7037645655,98333.0785671842,103255.872072947,108424.805280846,113852.185126848,123464.3953927,125534.620344731,131817.490924294,138414.50507864,145335.402132148
"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan","Industri",244106.073227156,199039.749156519,208993.701092758,219445.350493767,230428.276036487,241971.056018311,254090.974823529,266816.88967267,280179.100272588,294209.42144699,363487.536780688,324409.687691508,340651.538161572,357705.481106499,375602.816630697
"Ketenagalistrikan","Energi",454354.786102419,52089.8627327413,54694.361262486,57429.084718766,60300.5738235014,63315.6407540071,66481.4610264875,69805.5723013977,73295.8891490972,76960.7218222493,485554.194305954,84849.2741746672,89091.7761314469,93546.4031570191,98223.730004885
"Pengadaan Gas dan Produksi Es","Energi",233047.814376289,235117.824464865,246874.170012666,259218.332579203,272183.845593337,285799.047924976,300095.0101614,315105.770894519,330867.069431605,347416.432955301,373919.773805507,383038.937829563,402196.894845458,422312.74951918,443429.963932243
"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang","Limbah",13236643.7365174,5030860.29684114,5282403.80629742,5546524.49138235,5823853.25845425,6115051.59457095,6420809.84530778,6741856.01076734,7078954.48254899,7432907.87932394,16249907.6268852,8194792.56420887,8604537.86366156,9034770.42949238,9486512.43049802
"Konstruksi","Jasa",1658107.21595192,1692941.26706045,1777720.85410588,1866739.42075416,1962091.51333434,2062212.13455701,2167338.78676703,2277721.77178763,2393623.90553048,2515321.14627021,2689011.66239957,2777274.45719784,2918154.22562424,3066077.98242269,3219383.01162716
"Perdagangan Mobil Sepeda Motor dan Reparasinya","Jasa",207565.614150899,177742.425565891,186631.790567885,195965.623857641,205783.200640099,216095.944242433,226924.325047144,238294.124873012,250232.414667289,262767.618993832,314218.834014186,289749.646256444,304260.712120626,319497.331309696,335477.531073219
"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor","Jasa",1100330.92124413,1059888.7028545,1112891.47977841,1168544.39581179,1227079.12357351,1288551.18758363,1353096.85463912,1420869.80497471,1492031.40304098,1566751.08073787,1736127.796181,1727585.18740119,1814082.55444345,1904904.79006397,2000162.00096066
"Angkutan Rel","Transportasi",284900.448978961,237727.365811228,249614.982555385,262096.979971669,275217.544114523,288996.037081638,303463.453993322,318654.241673975,334604.569053266,351352.41297781,427432.271269494,387402.146048611,406789.868481583,427146.977618439,448506.457665677
"Angkutan Darat","Transportasi",27486158.4176166,15716459.329092,16502312.1551316,17327457.6325984,18194134.1407618,19104222.040429,20059814.3376371,21063186.2495868,22116726.7614001,23222944.2972944,36902603.0677406,25604077.543093,26884662.6204824,28229276.9533631,29640828.9988136
"Angkutan Laut","Transportasi",9159.58553221678,7666.88734317359,8050.2985992488,8452.88038234895,8876.27324215008,9320.97569156569,9787.91326194791,10278.1977413967,10792.9964842684,11333.5351773282,13758.9526165968,12497.0446088496,13122.7856129149,13779.8137219141,14468.9634114244
"Angkutan Sungai Danau dan Penyeberangan","Transportasi",684.342474456868,283.239820178043,297.408233320719,312.28506028865,327.910057075066,344.32392377196,361.558490518115,379.654833706122,398.656076206033,418.607216408764,854.152366556219,461.552224121118,484.648240186129,508.898968030592,534.357705645803
"Angkutan Udara","Transportasi",1801572.92070361,1768471.22290285,1856898.85547124,1949747.86941958,2047277.45815484,2149694.56986788,2257232.53634431,2370147.40143621,2488708.01067448,2613196.64983244,2861228.21049648,2881158.44483244,3025269.60538058,3176586.32407897,3335428.0747485
"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir","Jasa",749720.08899042,662380.956173239,695504.601085171,730284.42850145,766845.647828947,805244.797379909,845563.904749326,887898.967508064,932350.783840068,979025.1910332,1146918.7796221,1079491.85119684,1133523.31101017,1190256.34474327,1249780.64763758
"Penyediaan Akomodasi","Jasa",7855.89530941597,7038.99548174786,7390.99513970801,7760.59477970961,8149.2452506498,8557.41139676059,8985.98584931005,9435.98902684024,9908.49235859752,10404.6208587675,12077.6933827892,11472.5374584928,12046.8682146874,12649.9155105609,13282.5041920739
"Penyediaan Makan Minum","Jasa",67579.8058913141,69819.1332823974,73310.1789964898,76975.7769950022,80825.1401628376,84867.4634506424,89111.9029067766,93568.5643316896,98248.0588321167,103161.528055099,109406.148791373,113737.770581191,119425.725386446,125398.077925307,131668.528736113
"Informasi dan Komunikasi","Jasa",89638.652435675,91277.4085242061,95841.4588101163,100633.711583513,105666.119449819,110951.404812837,116500.954429931,122327.981558825,128446.360020406,134870.657397178,144324.128111409,148698.957535457,156135.884792224,163944.658426782,172143.290168368
