"sector","y2016","y2017","y2018","y2019","y2020","y2021","y2022","y2023","y2024","y2025","y2026","y2027","y2028","y2029","y2030"
"Tanaman Pangan","296998.199295031","311848.224555939","327440.751394102","343812.908389049","361003.668586308","379053.965889006","398006.783158211","417907.239012189","438802.716406002","460742.965587297","483780.230270976","507969.360114575","533367.94317786","560036.458214329","588038.393777789"
"Tanaman Hortikultura","203105.055204595","213260.422330435","223923.55330098","235119.836392529","246875.940662483","259219.841227931","272180.948366168","285790.10303028","300079.713971357","315083.81287671","330838.110030102","347380.124281548","364749.238857413","382986.809564412","402136.258054413"
"Perkebunan","100620.58951978","105651.647032926","110934.26011827","116480.996710333","122305.076818736","128420.362568421","134841.411738995","141583.509113158","148662.713353975","156095.873864196","163900.695489796","172095.764700576","180700.577460771","189735.636543774","199222.450976015"
"Peternakan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jasa Pertanian dan Perburuan ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kehutanan dan Penebangan Kayu","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Perikanan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pertambangan Minyak Gas dan Panas Bumi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pertambangan Bijih Logam","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pertambangan dan Penggalian Lainnya","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Batubara dan Pengilangan Migas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Makanan dan Minuman","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pengolahan Tembakau","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Tekstil dan Pakaian Jadi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Kulit Barang dari Kulit dan Alas Kaki","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Kimia Farmasi dan Obat Tradisional","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Karet Barang dari Karet dan Plastik","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Barang Galian bukan Logam","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Logam Dasar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Mesin dan Perlengkapan YTDL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
