"PDRB_2016","PDRB_2017","PDRB_2018","PDRB_2019","PDRB_2020","PDRB_2021","PDRB_2022","PDRB_2023","PDRB_2024","PDRB_2025","PDRB_2026","PDRB_2027","PDRB_2028","PDRB_2029","PDRB_2030"
65842404.5473776,69134550.3350905,72591303.4818472,76220895.1316729,80031965.3336861,84033588.8452956,88235294.6634237,92647085.2672894,97279465.1235974,102143463.51111,107250662.49268,112613221.850251,118243908.450211,124156130.005349,130363961.479934
25217330.2588187,26478210.9712849,27802135.1592201,29192255.0068349,30651881.7189023,32184488.6593221,33793727.3801192,35483427.064662,37257611.5526265,39120506.1859045,41076544.7193249,43130385.4575802,45286918.1845555,47551277.5978339,49928854.8883655
10687516.9792893,11221895.8062486,11782993.8609715,12372146.0592467,12990756.577674,13640297.7957775,14322315.9827398,15038434.6271076,15790359.4159075,16579880.0253764,17408876.9935121,18279324.5008729,19193293.3308817,20152961.2062075,21160612.7296962
17796149.8825547,18685962.2633155,19620264.5360018,20601282.7247381,21631351.5873602,22712923.6021619,23848574.3153946,25041007.7223498,26293062.7135862,27607720.0126273,28988110.9332638,30437521.0250809,31959401.155518,33557376.462499,35235249.6663822
2116281.79794615,2231118.92152314,2351698.06544627,2478306.45804414,2611245.41690887,2750831.03300658,2897395.85471322,3051288.56930207,3212875.8411084,3382542.94305187,3560693.91276044,3747751.2314044,3944162.44224176,4150393.85009904,4366936.78446386
1306929.24609048,1372279.49984837,1440896.59595062,1512945.82195907,1588596.64679966,1668029.82606871,1751434.99539461,1839010.20070079,1930964.71203663,2027515.94016129,2128895.67922409,2235344.46012579,2347115.455006,2464474.6216329,2587701.34025346
15262443.1122437,16025771.2874811,16827265.8642044,17668834.7478479,18552482.5446457,19480313.3704334,20454534.5186006,21477467.1287332,22551547.3285013,23679330.0838024,24863502.746477,26106883.6238416,27412434.0394464,28783262.2842361,30222631.320865
18278982.5967307,19192941.2121804,20152598.3044787,21160237.6082253,22218258.7596247,23329180.5514824,24495648.9553931,25720441.4403836,27006472.9229507,28356805.8770981,29774655.3496498,31263397.5494289,32826576.3656006,34467914.7716261,36191320.4009908
942614.323135649,989746.61212575,1039236.26262941,1091199.70553509,1145761.85815512,1203051.61350607,1263205.70195719,1326368.42522785,1392688.3601455,1462324.67595341,1535442.71618828,1612216.75612476,1692829.76300579,1777472.63751415,1866348.23020239
8179664.61708404,8588649.29031716,9018083.89114065,9468990.26064372,9942441.69292994,10439565.7626437,10961545.5658266,11509624.83539,12085107.9170816,12689365.4974949,13323835.5617332,13990029.9109953,14689533.1720611,15424011.6040998,16195214.4494655
26211575.7813379,27522164.3878013,28898282.6312877,30343206.291983,31860376.5986312,33453405.1451592,35126085.3388664,36882399.3248557,38726529.4051824,40662865.6210111,42696018.5026276,44830829.3096135,47072380.6213353,49426009.6021662,51897320.099906
69544506.18347,73021752.122472,76672860.1583153,80506523.854199,84531870.3789094,88758484.380761,93196429.4320669,97856271.1651905,102749105.464043,107886581.343519,113280930.943207,118944997.768909,124892268.242499,131136902.169967,137693767.83789
