"sector","y2016","y2017","y2018","y2019","y2020","y2021","y2022","y2023","y2024","y2025","y2026","y2027","y2028","y2029","y2030"
"Tanaman Pangan","297412.706915573","310724.955210568","324633.044340309","339163.64411327","354349.807914008","370217.456442176","386795.291337978","404115.100927797","422210.096521833","441114.976031495","460865.9904623","481501.013312385","503059.613595795","525583.131421291","549109.474148533"
"Tanaman Hortikultura","203927.06314323","213057.940923292","222597.663398231","232564.538521117","242978.375191232","253861.159672086","265231.221839734","277110.382076984","289521.437911019","302488.207821677","316035.577037798","330189.545147025","344977.276094373","360427.15036717","376568.125706068"
"Perkebunan","100994.650767239","105516.672229874","110241.161578921","115177.18458133","120337.825375013","125730.127609393","131363.845319276","137249.788780589","143399.251981335","149824.034940848","156536.466053205","163549.425638002","170876.371012335","178531.361939841","186525.410084511"
"Peternakan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jasa Pertanian dan Perburuan ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kehutanan dan Penebangan Kayu","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Perikanan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pertambangan Minyak Gas dan Panas Bumi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pertambangan Bijih Logam","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pertambangan dan Penggalian Lainnya","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Batubara dan Pengilangan Migas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Makanan dan Minuman","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pengolahan Tembakau","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Tekstil dan Pakaian Jadi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Kulit Barang dari Kulit dan Alas Kaki","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Kimia Farmasi dan Obat Tradisional","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Karet Barang dari Karet dan Plastik","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Barang Galian bukan Logam","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
