"sector","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Tanaman Pangan",5139.03248791022,5638.13957652058,6250.58876399987,7014.30831701157,7980.89823958012,9220.61185322916,10829.1552236702,12936.9679265229,15721.8908156063,19426.4570362483,24381.4937440756,31038.3378417055,40012.8099678717,52145.2383674762,68582.3907903213
"Tanaman Hortikultura",2074.50256212925,2275.97946158,2523.20960254397,2831.50362683414,3221.69109595831,3722.13142357928,4371.45862466171,5222.32771571305,6346.52835859254,7841.96478634432,9842.18319431803,12529.3763830252,16152.1348972483,21049.6770785846,27684.922811099
"Perkebunan",1088.21310655543,1193.90099851738,1323.58947644891,1485.30997949909,1689.98898336989,1952.50286672122,2293.11771271684,2739.45454248299,3329.17175779,4113.62657146633,5162.87275099224,6572.48240944965,8472.85764610008,11041.9408034047,14522.5638230402
"Peternakan",1420.85555806591,1558.84987902682,1728.1812292518,1939.3360795279,2206.58088523474,2549.33940185854,2994.07260172568,3576.84463545377,4346.82523747284,5371.0703739719,6741.04768512947,8581.54354525353,11062.8210639925,14417.2155851571,18961.7873535283
"Jasa Pertanian dan Perburuan ",223.084602523735,244.750709306638,271.336956408388,304.489795612519,346.449163631911,400.264730609422,470.091060646317,561.590486314902,682.483011665375,843.29690854158,1058.393258223,1347.36442430962,1736.94294687557,2263.60715585316,2977.13780361458
"Kehutanan dan Penebangan Kayu",134.344192913778,147.391779325824,163.402332578193,183.367365457599,208.635794412406,241.044166963856,283.094410876133,338.196449964913,410.999362208529,507.843397749441,637.376970019465,811.398832693304,1046.00763838243,1363.17106991079,1792.86768662797
"Perikanan",1601.05079390821,1756.5458381964,1947.35214887537,2185.28611693903,2486.42350503212,2872.65143754972,3373.78673309528,4030.46728755696,4898.09866342468,6052.24103142217,7595.96218558238,9669.87421895033,12465.8334328051,16245.6405179982,21366.5660894164
"Pertambangan Minyak Gas dan Panas Bumi",266849.890241644,280223.785193825,294277.83605425,309050.233941964,324582.60644509,340920.746767573,358115.582756262,376224.47205175,395312.941019223,415457.027992896,436746.449888729,459288.891110069,483215.82272635,508690.408701496,535918.259094077
"Pertambangan Bijih Logam",13362.7551565538,14032.4653204719,14736.2349208089,15475.9764131871,16253.7743375976,17071.9218310976,17932.9691527391,18839.7885394442,19795.6612845775,20804.3950780783,21870.4825775229,22999.3161790424,24197.4794180802,25473.1428810946,26836.6026820055
"Pertambangan dan Penggalian Lainnya",124814.866090779,131070.296460478,137643.859127445,144553.417390799,151818.44190437,159460.351723691,167502.967553276,175973.11753318,184901.450596739,194323.532486527,204281.326887975,214825.201497962,226016.64985471,237931.989352577,250667.390883383
"Industri Batubara dan Pengilangan Migas",188448.054592455,206750.228449211,229208.627460209,257214.070391574,292658.714688305,338118.729583533,397103.62911722,474396.595142488,576519.000740739,712364.466699995,894064.329745665,1138168.98432675,1467260.39613224,1912153.16011837,2514898.91963774
