HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC,ROWSUM
0,0,0,0,144.8645612,253.4102605,0,294.2170068,0,0,0,0,0,0,0.025569381,0.234905695,-16.66791457,0,4.146357772,0,0,0,0,0,0,0,680.2307467
0,0,0,0,58.48038784,102.3002258,0,118.7736683,0,0,0,0,0,0,0.010353006,0.095130568,-6.728397298,0,1.673860149,0,0,0,0,0,0,0,274.6052284
0,0,0,0,30.38598941,53.03083192,0,61.57040604,0,0,0,0,0,0,0.005363248,0.049314194,-3.529487141,0,0.867702838,0,0,0,0,0,0,0,142.3801205
0,0,0,0,40.05326858,70.06519086,0,81.34781398,0,0,0,0,0,0,0.00708894,0.065154708,-4.608372567,0,1.14642299,0,0,0,0,0,0,0,188.0765675
0,0,0,0,6.28063053,10.98329786,0,12.7519423,0,0,0,0,0,0,0.00111079,0.010213539,-0.72354782,0,0.179711282,0,0,0,0,0,0,0,29.48335849
0,0,0,0,3.78664271,6.623779817,0,7.690409485,0,0,0,0,0,0,0.000669295,0.006159556,-0.435729101,0,0.108379829,0,0,0,0,0,0,0,17.78031159
0,0,0,0,45.1330501,78.95130728,0,91.66486496,0,0,0,0,0,0,0.007982881,0.073384293,-5.192817875,0,1.291819699,0,0,0,0,0,0,0,211.9295913
4970.651581,0.49470322,0,0,18.78146236,32.85287694,0,589.7477286,28.68000274,0,7.917032473,2366.815085,0,0,0.003322559,0.0305504,-2.161338187,0,6.419659768,0,0,0,0,0,0,0,8020.232667
248.9142423,0.024773231,0,0,0.940514663,1.645172046,0,29.53277058,1.436207212,0,0.39646088,118.522893,0,0,1.66E-04,0.001529872,-0.108231007,0,0.321477015,0,0,0,0,0,0,0,401.6279762
2325.162571,0.231415734,0,0,8.785530609,15.36814866,0,275.8763193,13.41613236,0,3.703484849,1107.165322,0,0,0.001554796,0.014291081,-1.010932159,0,3.003033367,0,0,0,0,0,0,0,3751.716872
0,0,0,0,5297.320838,9260.254486,0,10751.43663,0,0,0,0,0,0,0.936364123,8.617864496,-611.2076259,0,151.5184432,0,0,0,0,0,0,0,24858.877
10356.41319,5.748715211,0,0,563.0240709,984.8876755,0,5684.047474,666.2110094,0,1798.888912,9066.923873,0,0,0.099572372,0.915862338,-64.7821766,49054.41562,2941.121757,0,0,0,0,0,0,0,81057.91556
471.5397424,0.261748104,0,0,25.63511289,44.84349514,0,258.8036805,30.33364199,0,81.90626014,412.8313986,0,0,0.004531925,0.041785183,-2.949479449,2233.525206,133.91393,0,0,0,0,0,0,0,3690.691053
30050.79894,16.68100873,0,0,1378.82796,2411.990121,0,20521.14803,1281.088911,0,526.3597106,42399.67429,0,0,0.243935416,2.242947054,-158.6409086,1862.484586,13753.57357,0,0,0,0,0,0,0,114046.4731
2892.772682,1.605761866,0,0,132.7297487,232.1851049,0,1975.424719,123.3213024,0,50.66889931,4081.514569,0,0,0.023481926,0.215912534,-15.27111489,179.2881219,1323.958541,0,0,0,0,0,0,0,10978.43773
9.706345391,1.635734132,0,0,352.0194489,615.7902285,0,610.3383572,27.72973507,0,89.90791829,3474.769379,0,0,0.062277638,0.572632891,-40.50129614,1338.56011,1127.143006,0,0,0,0,0,0,0,7607.733877
5763.015197,3.254248194,0,0,145.6444952,254.7754613,0,1526.726133,69.36432995,0,224.8994624,8855.109245,0,0,0.02576659,0.236919655,-16.75741745,265.7222639,2872.413492,0,0,0,0,0,0,0,19964.4296
0,0,0,0,9573.356474,16746.58392,0,19443.29241,0,0,0,0,0,0,1.694230529,15.57290833,-1101.497481,0,274.0115109,0,0,0,0,0,0,0,44953.01397
321.5092506,0.178465101,0,0,992.2116361,1735.650133,0,2289.436716,104.0168504,0,2284.870659,11863.53209,0,0,0.17553411,1.614008,-114.1669989,42.541171,3848.283369,0,0,0,0,0,0,0,23369.85288
9048.365275,49.19772782,0,0,62.45146726,109.2418466,0,1463.185927,469.5570115,0,307.8834265,2919.241307,0,0,0.011057238,0.101635143,-7.186644499,3.215378462,946.9412386,0,0,0,0,0,0,0,15372.20665
12463.23444,5.99385043,0,0,111.9355197,195.8084518,0,1717.637743,2089.148064,0,497.1387944,4900.156576,0,0,0.019802989,0.182085318,-12.87896512,0.054758229,1589.509002,0,0,0,0,0,0,0,23557.94013
13411.61052,7.444696347,0,0,764.3585868,1337.095173,0,5960.774987,284.6729466,0,6253.225907,113169.3335,0,0,0.135127729,1.243385556,-87.94342411,211.7517009,36709.78092,0,0,0,0,0,0,0,178023.484
42218.64185,20.30390754,0,0,379.176465,663.2926105,0,5818.423117,7076.898161,0,1684.036035,16599.06719,0,0,0.067081766,0.616806093,-43.62679422,0.185491119,5384.392583,0,0,0,0,0,0,0,79801.4745
5614.327715,3.116458714,0,0,1554.190171,2718.732454,0,5994.951517,272.3709157,0,883.1062389,104665.2809,0,0,0.274403996,2.536158144,-178.8224926,0,33884.73586,0,0,0,0,0,0,0,155414.8003
5.37326255,0.90551345,0,0,194.8718023,340.8905662,0,337.8725068,15.3506903,0,49.77143149,1923.570798,0,0,0.034509872,0.315994007,-22.42084092,741.0031743,623.9664086,0,0,0,0,0,0,0,4211.505817
294.3020432,0.163364028,0,0,172.2043237,301.2352726,0,283.945993,12.90062646,0,283.3796908,4909.035858,0,0,0.030558432,0.280123356,-19.81363989,855.7827403,1592.389257,0,0,0,0,0,0,0,8685.83621
644.7313533,0,0,0,0.306506904,0.536175496,0,274.4852037,130.1191056,0,4.349980109,661.841223,0,0,5.43E-05,0.000498597,-0.0352647,1.96E-07,33.77572747,0,0,46.10830218,802.7906494,0,0,0,2599.009516
2895.982265,0,0,0,1.376758625,2.408360731,0,1232.916071,584.4611449,0,19.5389781,2972.818459,0,0,0.000243226,0.002239571,-0.158405391,8.84E-07,151.711774,0,0,207.1064888,3605.926585,0,0,0,11674.09096
337.4930073,0,0,0,0.16044528,0.280665439,0,143.68152,68.11190772,0,2.277032589,346.4461896,0,0,2.85E-05,0.000260995,-0.018460618,1.03E-07,17.68018019,0,0,24.13576708,420.2273171,0,0,0,1360.475861
0,0,0,0,17522.71128,30652.63391,0,35588.63866,0,0,0,0,0,0,3.100038826,28.50436007,-2016.053681,0,501.5455435,0,0,0,0,0,0,0,82281.08011
0,0,0,0,1660.521746,2904.634214,0,915.1617707,211.831248,0,562.691182,108.467793,0,0,0.293758731,2.70106444,-191.0847588,280.8276612,3066.547981,0,0,0,0,0,0,0,9522.593661
0,0,0,0,10086.25254,17642.62969,0,5558.655253,1286.654357,0,3417.763279,658.8289486,0,0,1.785098612,16.4061552,-1160.824172,1705.735755,18626.08731,0,0,0,0,0,0,0,57839.97422
0,0,0,0,6634.973508,0,0,0,0,0,0,8.402319497,0,0,0,10.79298253,-763.4343586,0,0,0,0,0,0,0,0,0,5890.734451
0,0,0,0,492988.5128,0,0,0,0,0,0,624.2875677,0,0,0,801.9124739,-56730.83042,0,0,0,0,0,0,0,0,0,437683.8824
0,0,0,0,0,0,0,984.9276451,172.5456397,0,0.425863652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157.899148
0,0,0,0,0,0,0,5.796392305,1.015447402,0,0.002506248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.814345955
0,0,0,0,0,0,46339.53395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46339.53395
0,0,0,0,20408.61942,0,0,57.98552765,13.42183108,0,35.65265305,38.66310387,0,0,0,33.19789114,-2348.380153,0,1093.064217,0,0,0,0,0,0,0,19332.22449
0,0,0,0,63.25640935,110.653429,0,44.03711928,10.193212,0,27.07641369,4.404712045,0,0,0.011183782,0.102898341,-7.278311522,13.44518842,124.527848,0,0,0,0,0,0,0,390.4301024
0,0,0,0,320.049346,559.863654,0,222.8108314,51.57371954,0,136.9962055,22.28614335,0,0,0.056545863,0.519723005,-36.82328382,68.02746542,630.0628602,0,0,0,0,0,0,0,1975.42321
0,0,0,0,2811.774054,0,0,105.8101998,24.49174277,0,65.05786002,29.98587051,0,0,0,4.573936155,-323.5061086,0,847.745752,0,0,0,0,0,0,0,3565.933307
0,0,0,0,1342.259588,0,0,50.50863744,11.69116548,0,31.05545467,14.31379456,0,0,0,2.183374413,-154.4587621,0,404.6725448,0,0,0,0,0,0,0,1702.225797
