Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara
0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0.999,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.2,0.03,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.1,0.03,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.1,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.1,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.1,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.1,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.1,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.1,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.148,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.05,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.05,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0
