,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,Findem,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,output,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Padi,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Padi,2686011.417,2820311.988,2961327.587,3109393.967,3264863.665,3428106.848,3599512.191,3779487.8,3968462.19,4166885.3,4375229.565,4593991.043,4823690.595,5064875.125,5318118.881,5584024.825,,Padi,14581820.09,15310911.1,16076456.65,16880279.48,17724293.46,18610508.13,19541033.54,20518085.21,21543989.47,22621188.95,23752248.4,24939860.82,26186853.86,27496196.55,28871006.38,30314556.7
Tanaman Bahan Makanan lainnya,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Tanaman Bahan Makanan lainnya,791563.3647,831141.5329,872698.6095,916333.54,962150.217,1010257.728,1060770.614,1113809.145,1169499.602,1227974.582,1289373.311,1353841.977,1421534.076,1492610.78,1567241.319,1645603.385,,Tanaman Bahan Makanan lainnya,1039231.416,1091192.987,1145752.636,1203040.268,1263192.281,1326351.895,1392669.49,1462302.965,1535418.113,1612189.018,1692798.469,1777438.393,1866310.313,1959625.828,2057607.12,2160487.476
Kopi,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Kopi,2834290.748,2976005.285,3124805.55,3281045.827,3445098.118,3617353.024,3798220.676,3988131.709,4187538.295,4396915.21,4616760.97,4847599.019,5089978.97,5344477.918,5611701.814,5892286.905,,Kopi,3236063.311,3397866.476,3567759.8,3746147.79,3933455.179,4130127.938,4336634.335,4553466.052,4781139.355,5020196.322,5271206.138,5534766.445,5811504.768,6102080.006,6407184.006,6727543.207
Karet,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Karet,16855.20143,17697.9615,18582.85957,19512.00255,20487.60268,21511.98281,22587.58196,23716.96105,24902.80911,26147.94956,27455.34704,28828.11439,30269.52011,31782.99612,33372.14592,35040.75322,,Karet,9300956.324,9766004.141,10254304.35,10767019.56,11305370.54,11870639.07,12464171.02,13087379.58,13741748.55,14428835.98,15150277.78,15907791.67,16703181.25,17538340.32,18415257.33,19336020.2
Kelapa Sawit,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Kelapa Sawit,5974.700367,6273.435385,6587.107154,6916.462512,7262.285638,7625.399919,8006.669915,8407.003411,8827.353582,9268.721261,9732.157324,10218.76519,10729.70345,11266.18862,11829.49805,12420.97296,,Kelapa Sawit,4625221.188,4856482.248,5099306.36,5354271.678,5621985.262,5903084.525,6198238.752,6508150.689,6833558.224,7175236.135,7533997.942,7910697.839,8306232.731,8721544.367,9157621.585,9615502.665
Tanaman Perkebunan lainnya,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Tanaman Perkebunan lainnya,5356707.348,5624542.715,5905769.851,6201058.344,6511111.261,6836666.824,7178500.165,7537425.173,7914296.432,8310011.254,8725511.816,9161787.407,9619876.777,10100870.62,10605914.15,11136209.85,,Tanaman Perkebunan lainnya,5828697.689,6120132.574,6426139.203,6747446.163,7084818.471,7439059.394,7811012.364,8201562.982,8611641.131,9042223.188,9494334.347,9969051.065,10467503.62,10990878.8,11540422.74,12117443.88
Peternakan dan Hasil-hasilnya,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Peternakan dan Hasil-hasilnya,3641137.047,3823193.9,4014353.595,4215071.275,4425824.838,4647116.08,4879471.884,5123445.478,5379617.752,5648598.64,5931028.572,6227580.001,6538959.001,6865906.951,7209202.298,7569662.413,,Peternakan dan Hasil-hasilnya,5219515.488,5480491.263,5754515.826,6042241.617,6344353.698,6661571.383,6994649.952,7344382.45,7711601.572,8097181.651,8502040.733,8927142.77,9373499.908,9842174.904,10334283.65,10850997.83
Kehutanan,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Kehutanan,5071784.023,5325373.224,5591641.885,5871223.98,6164785.179,6473024.438,6796675.66,7136509.442,7493334.915,7868001.66,8261401.743,8674471.831,9108195.422,9563605.193,10041785.45,10543874.73,,Kehutanan,6908146.939,7253554.286,7616232,7997043.6,8396895.78,8816740.569,9257577.598,9720456.478,10206479.3,10716803.27,11252643.43,11815275.6,12406039.38,13026341.35,13677658.42,14361541.34
Perikanan,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Perikanan,13510767.84,14186306.23,14895621.55,15640402.62,16422422.76,17243543.89,18105721.09,19011007.14,19961557.5,20959635.37,22007617.14,23107998,24263397.9,25476567.79,26750396.18,28087915.99,,Perikanan,14062548.94,14765676.39,15503960.21,16279158.22,17093116.13,17947771.94,18845160.53,19787418.56,20776789.49,21815628.96,22906410.41,24051730.93,25254317.48,26517033.35,27842885.02,29235029.27
