y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030
14581820.09,15310911.1,16076456.65,16880279.48,17724293.46,18610508.13,19541033.54,20518085.21,21543989.47,22621188.95,23752248.4,24939860.82,26186853.86,27496196.55,28871006.38,30314556.7
1039231.416,1091192.987,1145752.636,1203040.268,1263192.281,1326351.895,1392669.49,1462302.965,1535418.113,1612189.018,1692798.469,1777438.393,1866310.313,1959625.828,2057607.12,2160487.476
3236063.311,3397866.476,3567759.8,3746147.79,3933455.179,4130127.938,4336634.335,4553466.052,4781139.355,5020196.322,5271206.138,5534766.445,5811504.768,6102080.006,6407184.006,6727543.207
9300956.324,9766004.141,10254304.35,10767019.56,11305370.54,11870639.07,12464171.02,13087379.58,13741748.55,14428835.98,15150277.78,15907791.67,16703181.25,17538340.32,18415257.33,19336020.2
4625221.188,4856482.248,5099306.36,5354271.678,5621985.262,5903084.525,6198238.752,6508150.689,6833558.224,7175236.135,7533997.942,7910697.839,8306232.731,8721544.367,9157621.585,9615502.665
5828697.689,6120132.574,6426139.203,6747446.163,7084818.471,7439059.394,7811012.364,8201562.982,8611641.131,9042223.188,9494334.347,9969051.065,10467503.62,10990878.8,11540422.74,12117443.88
5219515.488,5480491.263,5754515.826,6042241.617,6344353.698,6661571.383,6994649.952,7344382.45,7711601.572,8097181.651,8502040.733,8927142.77,9373499.908,9842174.904,10334283.65,10850997.83
6908146.939,7253554.286,7616232,7997043.6,8396895.78,8816740.569,9257577.598,9720456.478,10206479.3,10716803.27,11252643.43,11815275.6,12406039.38,13026341.35,13677658.42,14361541.34
14062548.94,14765676.39,15503960.21,16279158.22,17093116.13,17947771.94,18845160.53,19787418.56,20776789.49,21815628.96,22906410.41,24051730.93,25254317.48,26517033.35,27842885.02,29235029.27
36197840.23,38007732.24,39908118.85,41903524.79,43998701.03,46198636.08,48508567.89,50933996.28,53480696.1,56154730.9,58962467.45,61910590.82,65006120.36,68256426.38,71669247.7,75252710.08
