Hutan lahan kering primer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hutan lahan kering sekunder / bekas tebangan,0,156.2666667,156.2666667,156.2666667,156.2666667,156.2666667,156.2666667,156.2666667,156.2666667,156.2666667,156.2666667,156.2666667,156.2666667,156.2666667,156.2666667,156.2666667
Hutan rawa primer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hutan rawa sekunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hutan mangrove primer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hutan mangrove sekunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hutan tanaman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perkebunan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Semak belukar,0,-36.1729346,-36.1729346,-36.1729346,-36.1729346,-36.1729346,-36.1729346,-36.1729346,-36.1729346,-36.1729346,-36.1729346,-36.1729346,-36.1729346,-36.1729346,-36.1729346,-36.1729346
Semak belukar rawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Savanna / Padang rumput,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pertanian lahan kering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pertanian lahan kering  campur semak / kebun campur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sawah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tambak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pemukiman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmigrasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lahan terbuka,0,-120.0937321,-120.0937321,-120.0937321,-120.0937321,-120.0937321,-120.0937321,-120.0937321,-120.0937321,-120.0937321,-120.0937321,-120.0937321,-120.0937321,-120.0937321,-120.0937321,-120.0937321
Pertambangan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tubuh air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Awan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bandara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
