y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030
74588486.23,78317910.54,82233806.07,86345496.37,90662771.19,95195909.75,99955705.24,104953490.5,110201165,115711223.3,121496784.4,127571623.7,133950204.8,140647715.1,147680100.8,147680100.9
27511897.57,28887492.45,30331867.07,31848460.43,33440883.45,35112927.62,36868574,38712002.7,40647602.83,42679982.98,44813982.13,47054681.23,49407415.29,51877786.06,54471675.36,54471675.36
13152958.33,13810606.24,14501136.56,15226193.38,15987503.05,16786878.21,17626222.12,18507533.22,19432909.88,20404555.38,21424783.15,22496022.3,23620823.42,24801864.59,26041957.82,26041957.82
27001948.59,28352046.02,29769648.32,31258130.74,32821037.28,34462089.14,36185193.6,37994453.28,39894175.94,41888884.74,43983328.98,46182495.42,48491620.2,50916201.21,53462011.27,53462011.27
2618033.644,2748935.326,2886382.093,3030701.197,3182236.257,3341348.07,3508415.474,3683836.247,3868028.06,4061429.463,4264500.936,4477725.982,4701612.282,4936692.896,5183527.54,5183527.54
1513784.317,1589473.533,1668947.21,1752394.57,1840014.299,1932015.014,2028615.764,2130046.552,2236548.88,2348376.324,2465795.14,2589084.897,2718539.142,2854466.099,2997189.404,2997189.4
17907765.62,18803153.9,19743311.6,20730477.18,21767001.03,22855351.09,23998118.64,25198024.57,26457925.8,27780822.09,29169863.2,30628356.36,32159774.17,33767762.88,35456151.03,35456151.03
25130820.33,26387361.35,27706729.42,29092065.89,30546669.18,32074002.64,33677702.77,35361587.91,37129667.31,38986150.67,40935458.2,42982231.11,45131342.67,47387909.8,49757305.29,49757305.29
1682916.23,1767062.042,1855415.144,1948185.901,2045595.196,2147874.956,2255268.703,2368032.139,2486433.746,2610755.433,2741293.204,2878357.865,3022275.758,3173389.546,3332059.023,3332059.02
11372932.57,11941579.2,12538658.16,13165591.07,13823870.62,14515064.15,15240817.36,16002858.23,16803001.14,17643151.19,18525308.75,19451574.19,20424152.9,21445360.55,22517628.57,22517628.57
75743723.8,79530909.99,83507455.49,87682828.26,92066969.67,96670318.16,101503834.1,106579025.8,111907977.1,117503375.9,123378544.7,129547471.9,136024845.5,142826087.8,149967392.2,149967392.2
247975547,260374324.3,273393040.5,287062692.5,301415827.2,316486618.5,332310949.5,348926496.9,366372821.8,384691462.9,403926036,424122337.8,445328454.7,467594877.4,490974621.3,490974621.3
4669303.393,4902768.563,5147906.991,5405302.341,5675567.458,5959345.831,6257313.122,6570178.778,6898687.717,7243622.103,7605803.208,7986093.369,8385398.037,8804667.939,9244901.336,9244901.34
266983026.5,280332177.8,294348786.7,309066226.1,324519537.4,340745514.2,357782789.9,375671929.4,394455525.9,414178302.2,434887217.3,456631578.2,479463157.1,503436314.9,528608130.7,528608130.7
20401564.81,21421643.05,22492725.21,23617361.47,24798229.54,26038141.02,27340048.07,28707050.47,30142402.99,31649523.14,33231999.3,34893599.26,36638279.23,38470193.19,40393702.85,40393702.85
15285815.35,16050106.11,16852611.42,17695241.99,18580004.09,19509004.29,20484454.51,21508677.23,22584111.09,23713316.65,24898982.48,26143931.61,27451128.19,28823684.6,30264868.83,30264868.83
48867468.1,51310841.51,53876383.58,56570202.76,59398712.9,62368648.54,65487080.97,68761435.02,72199506.77,75809482.11,79599956.21,83579954.02,87758951.73,92146899.31,96754244.28,96754244.28
122753273.4,128890937,135335483.9,142102258.1,149207371,156667739.6,164501126.5,172726182.9,181362492,190430616.6,199952147.4,209949754.8,220447242.5,231469604.7,243043084.9,243043084.9
76428259.08,80249672.03,84262155.63,88475263.41,92899026.58,97543977.91,102421176.8,107542235.7,112919347.4,118565314.8,124493580.5,130718259.6,137254172.6,144116881.2,151322725.2,151322725.2
28595577.01,30025355.86,31526623.65,33102954.83,34758102.58,36496007.71,38320808.09,40236848.49,42248690.92,44361125.47,46579181.74,48908140.83,51353547.87,53921225.26,56617286.52,56617286.52
60979780.16,64028769.17,67230207.63,70591718.01,74121303.91,77827369.11,81718737.56,85804674.44,90094908.16,94599653.57,99329636.25,104296118.1,109510924,114986470.2,120735793.7,120735793.7
456782352.7,479621470.4,503602543.9,528782671.1,555221804.6,582982894.9,612132039.6,642738641.6,674875573.7,708619352.4,744050320,781252836,820315477.8,861331251.7,904397814.3,904397814.3
