"","year","GDP"
"1","y2015","1527207863.84463"
"2","y2016","3131653344.54119"
"3","y2017","4816277238.15675"
"4","y2018","6585176187.68294"
"5","y2019","8442568331.89358"
"6","y2020","10392883155.3925"
"7","y2021","12440772099.4476"
"8","y2022","14591119707.8066"
"9","y2023","16849055335.4208"
"10","y2024","19219965447.0484"
"11","y2025","21709506537.6491"
"12","y2026","24323618703.3133"
"13","y2027","27068539898.9032"
"14","y2028","29950820919.4838"
"15","y2029","32977341131.6859"
"16","y2030","36155325009.847"
