"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",-1076.03037833366,51.7095855068656,-24.2022801239073,-26.1657345823151,-28.1914146106428,-30.3529074245744,-32.5677409647833,-34.9384980580435,-37.5028344722596,-40.184603312031,-43.101942865891,-46.2860488861843,-49.6928032444412,-53.4699257948814,-57.5790634285731
"2",-1693.91971736531,81.4028007044981,-38.0999647502613,-41.190894436746,-44.3797814669524,-47.7824691480782,-51.2691274114914,-55.0012452583978,-59.0381015442763,-63.2598235279875,-67.8523881028959,-72.8649045565544,-78.2279207808315,-84.1739818628121,-90.6427111957455
"3",-382.362531211325,113.056201262827,90.2011803070782,99.9489561385162,110.110844104989,120.809794116683,132.234289006881,144.498292386561,157.757140973823,172.236420642206,188.106622573021,205.615380357278,225.095215584737,246.862687491299,271.403648783955
"4",-1113.00754704642,53.4865558257625,-25.0339776297478,-27.0649050798529,-29.1601964388392,-31.3959677264065,-33.6869127508471,-36.1391395537212,-38.7915979274912,-41.5655242171269,-44.5831164783667,-47.8766424676942,-51.4004679881255,-55.3073892044486,-59.5577350066087
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",-31.2851766884877,9.25033951634953,7.380325302247,8.17789531418953,9.00934828095433,9.88474404839098,10.819504419605,11.822953975869,12.9078024831344,14.0925075360847,15.3910188504992,16.8235979657713,18.4174520687714,20.1984822406971,22.2064413139719
"7",-896.178931082064,43.0666661552568,-20.1570271306991,-21.7923030136626,-23.4794038491782,-25.2796172742928,-27.1242558526465,-29.0987563881281,-31.2344807213231,-33.4680094284704,-35.897734736951,-38.5496382452548,-41.3869758616638,-44.5327770640579,-47.9550991961078
"8",-817.736643652108,39.2970530957682,-18.3926882737214,-19.88482890878,-21.424258295785,-23.0668995423039,-24.7500774352957,-26.5517505031676,-28.5005354874011,-30.538564059756,-32.7556162036053,-35.1753993427483,-37.7643856065624,-40.6348357176976,-43.7576029589691
"9",-6.91176170216755,0.332150782882962,-0.155460659987654,-0.168072691902495,-0.181084422662451,-0.194968531799702,-0.209195269177968,-0.224423564288259,-0.240895294519646,-0.258121338987905,-0.276860545802379,-0.297313297404742,-0.319196205969263,-0.343458133468516,-0.369852722859946
"10",-226.782791674622,10.8982463616276,-5.10084172385086,-5.51465688577446,-5.94158662553309,-6.39714009744512,-6.86393559391763,-7.36359333758901,-7.90404961310196,-8.46925579691924,-9.08411056472323,-9.75518869271036,-10.4731919004516,-11.2692534365087,-12.1352900494658
"11",-3051.19641028639,146.627925026012,-68.6280905311869,-74.1956705180637,-79.9396975828131,-86.0688359960041,-92.3492276068282,-99.0717566982348,-106.343200142044,-113.947635491757,-122.220056206235,-131.248921044738,-140.909128475294,-151.619553565659,-163.27144209019
"12",-8700.07159502359,418.089586547896,-195.683666701138,-211.558863727812,-227.937175702187,-245.413580383174,-263.321262968006,-282.489640369778,-303.22317233478,-324.906185548578,-348.493868231133,-374.238448350399,-401.783216018754,-432.322536524502,-465.546312009334
"13",-224.957380727138,10.8105246319237,-5.05978423219858,-5.47026852902945,-5.89376184437697,-6.34564849401977,-6.8086866785452,-7.3043225973488,-7.8404286517507,-8.40108540046276,-9.01099110415271,-9.67666761723376,-10.3888915026309,-11.178545412824,-12.037611158361
"14",-9979.28098038986,479.563117698068,-224.455887637858,-242.665284065006,-261.451770557265,-281.497807003674,-302.038534031424,-324.025321322668,-347.807394886797,-372.6785558259,-399.734437982319,-429.264355878695,-460.859150583041,-495.888800196873,-533.997611973376
"15",-1083.71913072682,52.0790752395806,-24.375216995446,-26.3527012842933,-28.3928557571999,-30.5697934744312,-32.8004530646649,-35.1881503492768,-37.770810167618,-40.4717415264968,-43.4099268710706,-46.6167848580953,-50.0478820992212,-53.8519939940743,-57.99049340294
"16",-716.761817097107,34.4446190378803,-16.1215432492281,-17.4294330700795,-18.7787723804322,-20.218578881555,-21.6939165124677,-23.2731174341898,-24.9812647593135,-26.7676358094577,-28.7109244376879,-30.8319106671079,-33.1012066667317,-35.617211122626,-38.354376377225
"17",-824.084304756325,39.6020955005733,-18.5354610612085,-20.0391844106161,-21.5905635836316,-23.2459557953298,-24.9421993162687,-26.757857810775,-28.7217701949339,-30.7756189148167,-33.0098808731855,-35.4484475238642,-38.057530730548,-40.9502626467583,-44.0972702844665
"18",-2357.90703651938,113.311294898755,-53.0344939608331,-57.3370147655223,-61.7758905379742,-66.5123730999476,-71.3657412816392,-76.5607849664957,-82.1800193134113,-88.0565835313173,-94.4493542241253,-101.426690681968,-108.891916777415,-117.168731280675,-126.173090965633
"19",-725.6571581633,34.8720924822919,-16.3216189442937,-17.6457402832057,-19.0118255230627,-20.469500659583,-21.9631479029231,-23.5619474239793,-25.291293659393,-27.0998343701576,-29.0672401047814,-31.2145487398739,-33.5120077420725,-36.0592369652659,-38.8303716747469
"20",-115.766899114421,5.5632800778244,-2.60385113289658,-2.81509334328166,-3.03303021404372,-3.26557877990717,-3.50386611439808,-3.75892880011133,-4.03481810590529,-4.32334161539438,-4.63720947776619,-4.97977794705366,-5.34630048804866,-5.75266983698566,-6.19475969965242
"21",-1994.02114155649,95.8244383803758,-44.8499031279352,-48.4884339613345,-52.2422766583331,-56.2477977483795,-60.3521659903636,-64.7454803986475,-69.4975218974432,-74.4671806210536,-79.8733818400942,-85.7739352611825,-92.0870843429147,-99.086572816901,-106.701327450777
"22",-14503.9090554392,696.998096226947,-326.224683628534,-352.69026082207,-379.994581682025,-409.129535379121,-438.983473496395,-470.939118915936,-505.504037125618,-541.651837544166,-580.974916515173,-623.893764536246,-669.813708978589,-720.725879442296,-776.113310677349
"23",-5624.24851274348,270.2782051088,-126.501668254496,-136.764348572673,-147.352272576361,-158.650069526921,-170.226670514297,-182.618260297517,-196.021659934573,-210.038861269568,-225.287355173874,-241.930197074835,-259.736788432405,-279.479238272703,-300.957081113011
"24",-9988.96617658253,480.028548520408,-224.673728938913,-242.90079818957,-261.705517398485,-281.77100920747,-302.331671593129,-324.339797833352,-348.144952491566,-373.040251816623,-400.122392538178,-429.680970094691,-461.306428457494,-496.370075594867,-534.515872922842
"25",-390.022586800149,18.7428781764538,-8.77246227214346,-9.48414439973385,-10.2183810679908,-11.0018450271709,-11.80464309524,-12.6639578795675,-13.5934382545292,-14.5654836915182,-15.6229151017942,-16.7770398336143,-18.0118666247727,-19.3809386686626,-20.8703543273623
"26",-585.716500682856,28.1471211923345,-13.1740470381374,-14.2428158220682,-15.3454558889171,-16.5220230604282,-17.7276252135198,-19.018101369893,-20.4139487168577,-21.8737181605138,-23.4617159997906,-25.1949230519458,-27.0493244510035,-29.1053286649367,-31.3420589427624
"27",-1398.59450109999,67.2106879113853,-31.4574537778972,-34.0094975353059,-36.6424203538554,-39.451868894801,-42.3306482326079,-45.4120926733449,-48.7451461567107,-52.2308350520761,-56.0227122592332,-60.1613251181843,-64.5893301430697,-69.4987294755119,-74.8396728357184
"28",-562.109118176706,27.0126476773166,-12.6430652965337,-13.6687572030132,-14.7269552286489,-15.8561006947857,-17.0131108879868,-18.2515742430005,-19.5911617693855,-20.9920950041851,-22.5160883655335,-24.1794382750013,-25.9590977843072,-27.9322344718021,-30.0788130295405
