"","year","emIntensity"
"1","y2015","-0.00361389513062479"
"2","y2016","-0.0086992891569266"
"3","y2017","-0.0134823415782771"
"4","y2018","-0.0180085846625151"
"5","y2019","-0.0222971340169389"
"6","y2020","-0.0263252097757821"
"7","y2021","-0.0300909628757563"
"8","y2022","-0.0336428895701069"
"9","y2023","-0.0367692513868669"
"10","y2024","-0.039358164977505"
"11","y2025","-0.0414306938987251"
"12","y2026","-0.0430055505606186"
"13","y2027","-0.0441000968129099"
"14","y2028","-0.0447303843288337"
"15","y2029","-0.0449109904026047"
"16","y2030","-0.0446548323343866"
