"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",65676705.0002567,68952476.7783898,72400745.7906476,76021542.254858,79823518.2748681,83815874.1991118,88009574.0096446,92411489.7543454,97033694.5211098,101887222.099584,106982818.984212,112335176.717066,117954552.34064,123855207.937538,130051238.653975
"2",25322168.9727144,26585941.4836769,27915423.7732566,29311413.0739098,30777242.1253507,32316443.9191489,33933105.9808877,35630174.9740333,37412153.1452192,39283291.5262438,41247810.4722137,43311129.3176943,45477439.7159461,47752155.3813185,50140705.564689
"3",10703501.372823,11235595.2216163,11799727.9430215,12392307.4551715,13014781.5175157,13668683.9245607,14355755.6512519,15077371.9740185,15835456.8188131,16631872.4126145,17468495.3680263,18347634.7045128,19271212.0616786,20241592.634092,21261179.1387807
"4",17825744.1015691,18716109.3352399,19651989.624288,20634677.0638878,21666514.9599226,22749976.9915656,23887809.3849141,25082365.8091211,26336672.3121477,27653718.6116486,29036548.1246344,30488745.5782215,32013484.66406,33614496.5425599,35295598.4321213
"5",2123516.43017515,2229280.51907252,2340833.60122111,2457975.39700475,2580987.06862233,2710168.93164845,2845893.08588116,2988348.47858224,3137944.86907617,3295041.13085559,3459977.68520961,3633260.30953893,3815195.35032104,4006256.49784025,4206902.99646371
"6",1383465.70650359,1435650.68084032,1508779.61907148,1585804.08265238,1666972.78191451,1752790.95940173,1846537.74188679,1941872.26979918,2042378.72759584,2148356.2360725,2258349.8312025,2378017.2312585,2502399.53853882,2633653.54025057,2772188.08305881
"7",15230051.7171684,15989799.9191507,16789430.3435281,17629067.1151333,18510716.1195678,19436508.7494966,20408966.5434784,21429727.6342306,22501568.8318584,23627048.351052,24808669.7745186,26049803.2878888,27352862.946661,28721143.3194613,30157912.2066838
"8",18361666.3078434,19276386.7960167,20240473.4144566,21252811.7553117,22315825.1013807,23432106.1805432,24604921.3261074,25835763.9398644,27128229.0043241,28485405.681136,29910187.4861423,31407034.6195843,32978473.2764755,34628613.2262015,36361402.4693363
"9",944497.065319553,991292.554371909,1040891.29167131,1092976.01588283,1147672.38987849,1205118.5282848,1265528.90597936,1328881.49194099,1395411.96023591,1465280.23058272,1538609.51665792,1615710.76166357,1696635.03657474,1781622.03812382,1870876.55354653
"10",8194394.64374323,8602890.48664613,9033132.23197743,9484903.31001865,9959284.07288422,10457426.4766011,10980738.0507761,11529991.9798772,12106737.83043,12712353.121672,13348156.8262783,14016051.4252551,14717249.4447739,15453554.4333425,16226726.4450671
"11",26678337.5740954,27977305.7854854,29378949.5370337,30851168.1153883,32397601.2866322,34022572.823849,35736275.7168626,37529290.2876333,39412790.4658804,41391384.0218883,43466270.8138846,45653488.733755,47947460.9522076,50357476.3463205,52889471.5419807
"12",69469641.9565424,72935562.407567,76582949.7260154,80412813.6765626,84434302.2939257,88657129.3543454,93092716.0656862,97748705.9535935,102637677.156742,107771296.96264,113161029.703196,118822106.638635,124765676.160231,131006716.994742,137560132.01071
"13",3176566.87982088,3335095.59027044,3501874.18621122,3676995.93559,3860878.94796103,4053966.54139552,4256772.66879934,4469664.4577476,4693207.99316168,4927936.57854941,5174378.98842131,5433217.13777875,5704974.84605783,5990331.96580863,6289969.6205585
"14",96150057.481594,100950038.008925,105998137.983594,111298748.954475,116864520.455594,122708842.39346,128846991.015742,135290675.214238,142056723.3889,149161271.600853,156620479.769853,164454496.600905,172679653.19272,181316357.008388,190385214.419637
"15",9184232.86286877,9642710.40804928,10124904.2370024,10631218.1025859,11162860.3344105,11721110.2295232,12307429.8004148,12922931.4562809,13569225.7239645,14247853.9864838,14960358.2690968,15708668.1344947,16494338.7205346,17319321.0663669,18185583.5882513
"16",6574131.98568842,6902583.04908808,7247732.68744621,7610143.41899042,7990679.12014347,8390250.52432475,8809855.18881024,9250393.54928149,9712964.95219891,10198671.6745083,10708644.5006071,11244178.7471621,11806470.7015468,12396887.1290308,13016835.2363352
"17",16645816.6787883,17471683.7687145,18345778.1658459,19263667.786491,20227562.7993081,21239876.1530632,22304180.5876351,23420528.5914597,24592847.3826412,25823950.8365998,27116124.7266597,28474485.6238822,29900285.2931154,31397621.9708994,32970097.2025105
"18",39475168.1256188,41408545.4821124,43482181.1194894,45660067.5680159,47947545.6355175,50350803.2552039,52882869.8235187,55534174.8611804,58319009.5067025,61244146.6831472,64312493.8830087,67544180.0249508,70934438.0371676,74495762.0422405,78236860.6540204
"19",20677686.247298,21702828.7296756,22788666.6836181,23928919.904841,25126336.9439768,26383929.3123883,27706272.856395,29093139.9104411,30549559.3806898,32079029.7845432,33684314.7006864,35372011.6499361,37143441.9664605,39003780.4918379,40957506.2979476
