"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"Hutan.lahan.kering.primer",13910.003419003,13551.3469655172,13157.1740673706,12705.7304607065,12201.5440796869,11646.2394190053,11040.7177765414,10385.2822186232,9679.71571289739,8923.32488626913,8114.95673620579,7252.99235722848,6335.31915461404,5359.28119345492,4321.60604414046,3218.30418020499
"Hutan.lahan.kering.sekunder...bekas.tebangan",166914.040485249,162651.367899491,157961.856047472,152593.871836179,146600.613734046,140001.34969326,132806.770625427,125020.472496214,116639.882989856,107656.78047942,98057.4922308223,87822.8199938876,76927.7104644899,65340.6664335366,53022.879150033,39927.0352102681
"Hutan.rawa.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hutan.rawa.sekunder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hutan.mangrove.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hutan.mangrove.sekunder",1126.00019844876,1083.69550193226,1040.5081122912,995.155016700295,947.819675816098,898.526021571178,847.260137650786,793.977277166468,738.606165923041,681.05131401803,621.193765260754,558.890518592097,493.972707757632,426.242516976486,355.468736624031,281.380728193779
"Hutan.tanaman",463449.043378759,453901.635014304,443403.155443173,432304.816472653,420612.593000449,408344.900170633,395510.694885094,382111.119653827,368140.529906902,353587.067891492,338432.88117533,322654.037249843,306220.156028828,289093.7548043,271229.280204663,252571.784350177
"Perkebunan",171551.992435403,164565.36988384,157327.350092637,150514.839332333,144054.740109121,137928.481226131,132118.485201628,126608.1149287,121381.623199826,116424.104713434,111721.451204694,107260.308085492,103028.034222115,99012.6643699429,95202.8710846391,91587.9326041502
"Semak.belukar",3472.00082460686,3377.9521991593,3274.33763629046,3156.69976245969,3026.07057054489,2882.84136689786,2727.22701094301,2559.29637776808,2378.9914031972,2186.13774728196,1980.4488648339,1761.52447053287,1528.84376071915,1281.75330489597,1019.44920247479,740.952555330121
"Semak.belukar.rawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Savanna...Padang.rumput",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pertanian.lahan.kering",880199.867598761,900059.247096465,920656.534202902,942051.073118589,964278.46623913,987378.082055894,1011391.23566489,1036361.28600773,1062333.73831369,1089356.3509094,1117479.24790251,1146755.03708834,1177238.93379756,1208988.89175312,1242065.73902864,1276533.32246953
"Pertanian.lahan.kering..campur.semak...kebun.campur",741848.94969839,757634.598344686,773853.53875379,790760.553005167,808369.341559022,826712.99131821,845826.230081427,865745.508484895,886509.086420212,908157.123037273,930731.771751956,954277.279479391,978840.091097256,1004468.96012788,1031215.06240688,1059132.1189305
"Sawah",872027.018586496,877601.636166613,883036.921232997,888209.127392308,893145.053219038,897854.800182469,902344.254778142,906615.81924395,910668.866533072,914499.995815179,918103.129717526,921469.477603159,924587.373234499,927441.98642233,930014.894758261,932283.498215273
"Tambak",71220.0088066153,67733.8323687235,64322.5738241264,60910.6971690713,57501.2453402127,54089.6203230507,50669.9157087195,47235.2024497403,43777.6970363643,40288.8434822839,36759.3280648799,33179.0369208099,29536.9602373052,25821.0419526533,22017.9708309375,18112.9024869202
"Pemukiman",311244.064159754,296338.13031259,282037.384078212,267555.974607918,252806.702108325,237682.224004513,222095.254204392,205973.356773733,189255.374704481,171888.994686731,153829.13073068,135036.931438401,115479.290847643,95128.7993070439,73964.1185495378,51970.7804620908
"Transmigrasi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lahan.terbuka",11527.0033358095,11169.4045253868,10780.7731429629,10335.9146068882,9839.50900863689,9293.10440820693,8697.55145345116,8053.12377991533,7359.59328009382,6616.27225308323,5822.02948707176,4975.28420171437,4073.97925100553,3115.53325611428,2096.77011123257,1013.82200427821
"Pertambangan",1663.00001601606,1675.55805771863,1717.96546888036,1792.88413548061,1904.09057718337,2056.92849994033,2258.61384957169,2518.65003263732,2849.36087819903,3266.57058967694,3790.46773496358,4446.70011677586,5267.75969501346,6294.73224715494,7579.50595711392,9187.55776653048
"Tubuh.air",30486.0070495072,29348.48965916,28168.9488593156,26892.7863755776,25528.4938602424,24078.0383737405,22541.9931698226,20919.7873127692,19209.8601562036,17409.7460179605,15516.1040038543,13524.701239253,11430.3524747639,9226.81533538806,6906.63791918604,4460.95055625581
"Rawa",21.00000607721,20.3485291084517,19.6405167001147,18.8300691198623,17.925712603572,16.930267421909,15.8452832933525,14.6712587297841,13.4077781627457,12.0535887320854,10.6066295851919,9.0640208411557,7.42201477150309,5.67590859533269,3.81991605238864,1.84699072524008
"Awan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bandara",421.000001103732,368.387475305556,322.338520880041,282.046638848199,246.791205943544,215.9426690544,188.950169004571,165.33170360165,144.665520920504,126.58258776735,110.759999822784,96.9152157351714,84.8010116604557,74.2010666140778,64.926099582901,56.8104895743235
