"","year","emission"
"1","y2015","-5519169.0626"
"2","y2016","-14960145.9471955"
"3","y2017","-22800762.448757"
"4","y2018","-30781269.8352496"
"5","y2019","-38724272.7035095"
"6","y2020","-46561226.6479222"
"7","y2021","-54259310.1081086"
"8","y2022","-61910223.6283599"
"9","y2023","-68959496.3894514"
"10","y2024","-75090623.031763"
"11","y2025","-80246105.0618817"
"12","y2026","-84351394.843378"
"13","y2027","-87367117.837505"
"14","y2028","-89187537.5155194"
"15","y2029","-89740428.2038545"
"16","y2030","-88874179.6455055"
