"","year","emIntensity"
"1","y2009","0.086752894863186"
"2","y2010","0.0752035001825358"
"3","y2011","0.0909316754513063"
"4","y2012","0.113119079038328"
"5","y2013","0.141204293027042"
"6","y2014","0.174694122580766"
"7","y2015","0.213154871807025"
"8","y2016","0.256205152907455"
"9","y2017","0.303509861692973"
"10","y2018","0.354775056335516"
"11","y2019","0.40974356436092"
"12","y2020","0.468191172160576"
"13","y2021","0.529923309415805"
"14","y2022","0.59477214089676"
"15","y2023","0.662594003637312"
"16","y2024","0.733267147655004"
"17","y2025","0.806689729514817"
"18","y2026","0.882778035632119"
"19","y2027","0.961464899089988"
"20","y2028","1.04269829125587"
"21","y2029","1.1264400668888"
"22","y2030","1.21266484461696"
