"","year","emission"
"1","y2010","-1273951.98263466"
"2","y2011","547615.73570859"
"3","y2012","3245648.52837041"
"4","y2013","6831504.39412487"
"5","y2014","11321055.8046552"
"6","y2015","16734619.1067485"
"7","y2016","23096967.763308"
"8","y2017","30437412.0512163"
"9","y2018","38789932.9661795"
"10","y2019","48193364.4996882"
"11","y2020","58691618.2367879"
"12","y2021","70333950.2047121"
"13","y2022","83175267.5374623"
"14","y2023","97276474.8123649"
"15","y2024","112704862.390298"
"16","y2025","129534536.1397"
"17","y2026","147846892.65498"
"18","y2027","167731140.639369"
"19","y2028","189284872.402578"
"20","y2029","212614688.542347"
"21","y2030","237836879.32779"
