"","year","GDP"
"1","y2010","110304653.86804"
"2","y2011","226120232.421524"
"3","y2012","347722238.806807"
"4","y2013","475399950.900986"
"5","y2014","609457110.055177"
"6","y2015","750212644.229667"
"7","y2016","898001427.343929"
"8","y2017","1053175076.57175"
"9","y2018","1216102789.48112"
"10","y2019","1387172223.07685"
"11","y2020","1566790416.74331"
"12","y2021","1755384761.36788"
"13","y2022","1953404016.91177"
"14","y2023","2161319380.85342"
"15","y2024","2379625610.07778"
"16","y2025","2608842198.80433"
"17","y2026","2849514615.49671"
"18","y2027","3102215601.53913"
"19","y2028","3367546534.89714"
"20","y2029","3646138861.88615"
"21","y2030","3938655600.69363"
