"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",-8.6953231073772e-13,-0.00064897856495411,-9.65136945055788e-06,-8.68709692004323e-06,-7.83638624481141e-06,-7.08516511173179e-06,-6.42130653964604e-06,-5.83420075175953e-06,-5.31452539688807e-06,-4.85412554318445e-06,-4.44591465585372e-06,-4.0836163831522e-06,-3.76180672561092e-06,-3.47561396306199e-06,-3.22088936881553e-06,-2.99387566887787e-06,-2.79134052968196e-06,-2.61041244575952e-06,-2.44856591987211e-06,-2.30359676136119e-06,-2.17355051991336e-06,-2.05670440507188e-06
"2",-3.78511111343016e-12,-0.0145064662502514,-0.000215612707459897,-0.000194015590595589,-0.000174964333654805,-0.000158143239021941,-0.000143280293603214,-0.000130137552777548,-0.000118505950446726,-0.00010820259254006,-9.90686105987112e-05,-9.09632343952665e-05,-8.37649097877452e-05,-7.73643719388234e-05,-7.16686570343128e-05,-6.65935329529146e-05,-6.20665666738462e-05,-5.8023393462045e-05,-5.44074143032647e-05,-5.11692167234692e-05,-4.82650613794766e-05,-4.56562892383883e-05
"3",-1.72856728930526e-11,-0.0116047166724358,-0.00017278139716497,-0.000155609222492144,-0.000140455530440474,-0.000127070505596821,-0.000115238839882435,-0.000104772166850849,-9.55049174973382e-05,-8.72921874822755e-05,-8.00081191172988e-05,-7.35411527631666e-05,-6.77949308238029e-05,-6.26828172550081e-05,-5.81310961850212e-05,-5.40729549407815e-05,-5.04509051222277e-05,-4.72139123886411e-05,-4.43170141278884e-05,-4.17209829150569e-05,-3.93911317651124e-05,-3.72966785473286e-05
"4",-7.85438381001313e-12,-0.0268734941395814,-0.000399162715549801,-0.000359060863705431,-0.000323691322495538,-0.000292466816535261,-0.000264881400644838,-0.000240492522885452,-0.000218911435154782,-0.000199798061633588,-0.000182856966623499,-0.000167826518004274,-0.000154480650489508,-0.000142616351945957,-0.000132060823068311,-0.000122657475480792,-0.000114271710030311,-0.000106783965668739,-0.000100089026200581,-9.40951690889952e-05,-8.87210211489853e-05,-8.38948766057335e-05
"5",3.33791327911115e-12,-0.0154256954403409,-0.000231087947195898,-0.000208759985878697,-0.000189028921321024,-0.000171575692001217,-0.000156125120613977,-0.000142436096042281,-0.000130296509525687,-0.000119520535458953,-0.000109946658044632,-0.000101431559446315,-9.38513986831827e-05,-8.70946433523812e-05,-8.10664509094811e-05,-7.56806465047402e-05,-7.08631503585702e-05,-6.65480106318908e-05,-6.26771878882437e-05,-5.91999747574234e-05,-5.60713888467373e-05,-5.32516777930064e-05
"6",-8.2720219563015e-12,-0.0179783651512699,-0.000267159566980545,-0.000240373552235648,-0.000216746166550024,-0.000195885637610367,-0.000177454394428997,-0.000161157172739256,-0.000146734556882709,-0.000133959611361575,-0.000122635198486085,-0.000112586687921107,-0.000103663221320771,-9.57292779504501e-05,-8.86694928384779e-05,-8.2379355829186e-05,-7.67690433389756e-05,-7.17587059747005e-05,-6.72780854003574e-05,-6.32659585209638e-05,-5.96679878391015e-05,-5.64362878109348e-05
"7",-1.89717686005508e-12,-0.0231297091001579,-0.000343483520363175,-0.000308943243931655,-0.000278480345247335,-0.000251588726706824,-0.000227832343330688,-0.000206829853523667,-0.000188246274187197,-0.000171788517956933,-0.000157202035910249,-0.000144261418754746,-0.000132771888323183,-0.000122558462795352,-0.000113472314286989,-0.000105378521622748,-9.81611394575976e-05,-9.17171721085824e-05,-8.59559265839055e-05,-8.07983675822216e-05,-7.61745222830346e-05,-7.20225073154585e-05
"8",-1.71436337348396e-11,-0.0172323686982814,-0.000256784918319153,-0.000231360487254688,-0.000208920360507018,-0.000189095540677815,-0.000171567988834331,-0.000156059399536564,-0.00014232506431755,-0.000130150912431869,-0.000119350848230247,-0.000109760045838889,-0.000101235973092063,-9.36505936822152e-05,-8.68948981847598e-05,-8.08700542379026e-05,-7.5491104640564e-05,-7.0682466689162e-05,-6.63777024981216e-05,-6.25187651457221e-05,-5.9054245872589e-05,-5.59387292055069e-05
"9",-9.82060266441209e-12,-0.0161372504852117,-0.000240109465526888,-0.000216175240925615,-0.000195057376899125,-0.000176407049490086,-0.000159923670699166,-0.000145344244662032,-0.000132437655864522,-0.0001210016860312,-0.000110860637904601,-0.000101858874228582,-9.38618912584427e-05,-8.67488651545012e-05,-8.04169005497804e-05,-7.47727831174466e-05,-6.97363758865865e-05,-6.52364280908715e-05,-6.12102964207689e-05,-5.76032482810102e-05,-5.43668543854653e-05,-5.14583269987101e-05
"10",-1.393371529268e-11,-0.017021284390918,-0.00025275543365828,-0.000227331402277479,-0.000204908914415634,-0.000185115375651787,-0.000167629796169314,-0.000152171401107848,-0.000138493598512181,-0.000126380650849217,-0.000115645155939148,-0.000106121147046841,-9.76652842872086e-05,-9.01487422404271e-05,-8.34619429355213e-05,-7.750558058401e-05,-7.21942959315547e-05,-6.7452269581339e-05,-6.32127625138507e-05,-5.9417612193885e-05,-5.60152134824882e-05,-5.29601493881177e-05
