"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",24856.6499965025,-3474.34140738952,4968.00732369227,7358.69729230433,9780.53725251948,12245.8344693684,14766.7055809189,17355.3050977332,20024.0065479095,22785.5502240682,25653.1750788695,28640.7341297962,31762.8096693621,35034.8218855074,38473.1370640286,42095.1822257154,45919.5580158052,49966.1628603238,54256.3189639427,58812.9090750035,63660.5216475277,68825.6055948507
"2",128377.541962801,-17943.9872180284,25658.3477122761,38005.5828376516,50513.698814755,63246.2592010654,76265.8429519292,89635.2247294527,103418.310230779,117680.89947029,132491.36795721,147921.262450907,164045.89643765,180944.910790773,198702.832778569,217409.667980051,237161.483450444,258061.048878124,280218.487457133,303751.981982898,328788.525037622,355464.717530799
"3",40332.2122339522,-5637.44008286552,8061.05109848586,11940.1665549614,15869.8257531974,19869.9983630009,23960.344756659,28160.5867542944,32490.8015319146,36971.6614111824,41624.647807464,46472.2385241742,51538.0946841006,56847.2369335004,62426.2211260213,68303.3242322704,74508.727415972,81074.7178611682,88035.8926856591,95429.3812953046,103295.080824923,111675.906943896
"4",13269.39462971,-1854.73131815753,2652.10515908705,3928.34345561042,5221.21076453337,6537.27715434245,7883.01093517278,9264.90063275443,10689.5516887363,12163.765343681,13694.6090379499,15289.4780151624,16956.1568471246,18702.8773934383,20538.3765904137,22471.9576062114,24513.5501601116,26673.7767671485,28964.0199946173,31396.4955059138,33984.3295141541,36741.6414258021
"5",17023.619008505,-2379.47850708742,3402.44819450261,5039.76437449219,6698.41430400222,8386.82688247357,10113.3004594802,11886.1593096186,13713.8777176292,15605.1811448599,17569.1365871076,19615.2315784178,21753.4531250478,23994.3620644833,26349.1672279064,28829.8038709757,31449.011064159,34220.4166677657,37158.6236684197,40279.3038091952,43599.2970344517,47136.717451303
"6",13749.3116201421,-1921.81177639316,2748.02440595322,4070.42068101926,5410.04739287849,6773.71223343034,8168.1174517158,9599.9862457217,11076.1629567551,12603.6948064739,14189.9048445066,15842.4557887406,17569.4137437735,19379.308303524,21281.1923823498,23284.7056274717,25400.1368929866,27638.4928685261,30011.5678058393,32532.0191687648,35213.4479162007,38070.4841137931
"7",11222.3247819629,-1568.60187043039,2242.96482886833,3322.31781081372,4415.73444667713,5528.77124020254,6666.89863623566,7835.60417450819,9040.47427887145,10287.2609532795,11581.9413516281,12930.7698523978,14340.3300986451,15817.5840222605,17369.9207073921,19005.2081317045,20731.8441514782,22558.8125470376,24495.7398944129,26552.9573388072,28741.5661312746,31073.5074655682
"8",71131.8133383556,-9942.45823547923,14216.8542228292,21058.2472848651,27988.781682986,35043.6769050727,42257.6069072906,49665.3540717644,57302.3273887318,65204.9856072611,73411.2143492074,81960.6565723109,90895.0421057684,100258.498652224,110097.861321447,120463.000630832,131407.145767861,142987.239660783,155264.299658985,168303.808887912,182176.131673883,196956.956396154
"9",102090.676584936,-14269.7372789615,20404.4884964766,30223.4768359013,40170.4037251591,50295.8172672408,60649.4826857268,71281.3206901175,82242.1515724074,93584.3019474867,105362.146560978,117632.582273552,130455.501024516,143894.236397429,158016.007556185,172892.390366993,188599.781018289,205219.905856769,222840.339048757,241555.063946122,261465.069795361,282678.986999592
"10",7727.56380527167,-1080.12121145358,1544.47979113532,2287.70984246969,3040.62396629146,3807.04830428869,4590.7497435733,5395.50693634869,6225.16663624536,7083.68960484286,7975.19164143654,8903.97943426576,9874.58641546448,10891.8064809837,11960.7276717939,13086.76778871,14275.7094969387,15533.7389275003,16867.4848243923,18284.0611074468,19791.1119519918,21396.859944649
