"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"Hutan.lahan.kering.primer",563210.728400604,562724.175285893,561656.892345789,559203.092656349,555344.016020262,550053.682000458,543298.946318364,535039.442226563,525227.427790419,513807.552955438,500716.553333522,485882.8777787,469226.249471084,450657.163156151,430076.318133764,407373.9835844,382429.29617364,355109.48418184,325269.016027671,292748.667534983,257374.502479054,218956.76106446
"Hutan.lahan.kering.sekunder...bekas.tebangan",804490.030837472,804123.784979334,803158.568780138,800795.14042615,797014.579613324,791790.685013812,785090.030313006,776871.905660133,767088.163406686,755682.983229704,742592.563357277,727744.744905571,711058.569348541,692443.771368408,671800.207158872,649017.21425119,623972.903239635,596533.375217547,566551.863262799,533867.791547783,498305.74745275,459674.360515847
"Hutan.rawa.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hutan.rawa.sekunder",53.0257711981816,53.0013702895,52.9377605052388,52.7819909936728,52.5328146951554,52.188504628028,51.7468576055196,51.2051903611636,50.5603293802477,49.808595433324,48.945783205275,47.9671365593483,46.8673193406089,45.6403819631528,44.2797237328849,42.7780506428654,41.1273286889513,39.3187323002812,37.3425877430758,35.188311104978,32.8443405492434,30.2980624164209
"Hutan.mangrove.primer",2638.74827337846,2589.10261895711,2540.89155262331,2492.47230628543,2443.67757225601,2394.33307428344,2344.25730457493,2293.26106158745,2241.14682241727,2187.70798021716,2132.72795436355,2075.9791916731,2017.22205093501,1956.20358069349,1892.6561865615,1826.29617856557,1756.82220210667,1683.91353703278,1607.22826292639,1526.40127571183,1441.0421489167,1350.73282446145
"Hutan.mangrove.sekunder",20906.2355125514,20404.1930214346,19921.885829342,19449.5732193552,18985.7147332718,18528.7620120777,18077.1556269551,17629.3208807028,17183.6627509654,16738.5601555823,16292.3595633873,15843.3680738771,15389.8458906248,14929.9982620565,14461.9668595803,13983.8205260657,13493.545428923,12989.0345126437,12468.0762468449,11928.3425738268,11367.3760276077,10782.5759230061
"Hutan.tanaman",13633.000238123,12964.2411576382,12405.1881798929,11939.1039277736,11550.6517023263,11227.0249663063,10957.5298873719,10733.2368234803,10546.6892681674,10391.6608169976,10262.9522425728,10156.2220257547,10067.8448723937,9994.79354662014,9934.54021148657,9884.97404167394,9844.33243237489,9811.14354501095,9784.1783501401,9762.41056231361,9744.98320005147,9731.18065555517
"Perkebunan",40086.0178770569,38974.9023437449,37782.6608719738,36689.1993772741,35693.7833971155,34796.0191413289,33995.8630692039,33293.6331073442,32690.0216345864,32186.1102891084,31783.3867549057,31483.7636315741,31289.5995028564,31203.7224360101,31229.4559429657,31370.6477351659,31631.7013331144,32017.6108335805,32533.9990318115,33187.1591212532,33984.1003442725,34932.5977564162
"Semak.belukar",496766.974022639,494956.931772543,492660.216070606,489164.377947111,484452.439886468,478501.063531551,471280.599632644,462755.035930911,452881.862444007,441611.865903663,428888.859441901,414649.354034821,398822.171250785,381327.99965982,362078.894526755,340977.718034706,317917.519506936,292780.851039945,265439.016286706,235751.247719859,203563.807301761,168709.005973839
"Semak.belukar.rawa",15620.0172661938,15603.9746428789,15570.0321513989,15493.1151694592,15372.6422468922,15207.8081445416,14997.5855884555,14740.7234485403,14435.7420071116,14080.925738868,13674.3138200322,13213.688585609,12696.5619251037,12120.1597006016,11481.4041716833,10776.8943252571,10002.8841047601,9155.25836338189,8229.50647193572,7220.69341142934,6123.42817417236,4931.82931391012
