"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",9510635.68041048,9986842.82784864,10485452.2867642,11009713.2361102,11560187.1192124,12138184.5824007,12745803.6261627,13383052.7996897,14052164.0165944,14754730.3866611,15492424.6558104,16267003.2131281,17080310.2739718,17934282.2546809,18830952.4049531,19772455.6182857,20760236.1990835,21798234.6032302,22888132.7934598,24033339.1332591,25234951.612928
"2",2197468.1178183,2307452.52393081,2422705.20229611,2543838.77969694,2671029.01959664,2804578.75366649,2944924.35406927,3092164.08539217,3246765.73752789,3409097.40853078,3579545.5949989,3758516.12452655,3946435.11354731,4143749.98347151,4350930.52818547,4568470.03085745,4796755.65463165,5036591.50354232,5288419.12477421,5552971.5206913,5830611.43282071
"3",863016.696051938,906290.021523987,951472.124262184,999043.857174057,1048994.15780125,1101441.95466147,1156642.79135845,1214467.75474539,1275183.89446933,1338935.76887312,1405875.16356995,1476161.45435483,1549961.98470443,1627452.46609432,1708817.39599175,1794250.4944032,1883810.83119353,1977999.2191919,2076897.00481534,2180886.90025612,2289921.66423755
"4",122608.232714529,128740.450459469,135175.519970482,141934.26796401,149030.9530435,156482.47209022,164308.493940721,172523.812387875,181149.895700747,190207.282109811,199717.536702692,209703.302961211,220188.356430523,231197.661511809,242757.430645334,254895.187111715,267637.701533038,281019.554363147,295070.499580141,309826.163213285,325317.329580036
"5",274051.515560025,287890.497076603,302137.814526198,317242.733642398,333102.879018847,349756.011843441,367387.176217006,385748.667652735,405028.15485654,425271.537054567,446527.00809214,468845.171689199,492279.161451703,516884.768141765,542720.571587912,569848.080907637,598171.273726135,628077.571164052,659479.16080595,692614.641931731,727234.847317127
"6",189900.065161598,199402.162774724,209364.59443664,219832.711526003,230824.233363824,242365.330147156,254491.052854986,267215.185424658,280575.520405333,294603.867879237,309333.628495059,324799.8727473,341039.424926347,358090.950248215,375995.047306879,394794.344830299,414525.238197739,435251.370633104,457013.80844086,479872.899377165,503865.984375058
"7",120477.109281194,126501.467414345,132825.998391527,139467.291089317,146440.648309936,153762.673336555,161451.33529923,169523.873172583,178000.037548635,186900.009898242,196244.9805409,206057.199428151,216360.028965819,227177.999672314,238536.868603186,250463.680684602,262986.241289046,276135.545021804,289942.313828985,304440.024760537,319661.987243872
"8",1024999.74924308,1076445.7748122,1130056.32400725,1186556.21843583,1245881.07868252,1308172.15224092,1373786.79902553,1442464.73647654,1514576.45731377,1590293.6486574,1669796.58376691,1753274.54770406,1840926.29162406,1932960.50296036,2029596.30343993,2131063.77204848,2237373.57103907,2349238.89150958,2466697.44433697,2590264.45158155,2719762.43604483
"9",1570926.15820677,1649647.34814018,1731940.88428533,1818535.35126881,1909459.5155317,2004929.86230404,2105360.15856063,2210618.02662788,2321138.68596859,2437185.27567682,2559034.09260933,2686975.24450965,2821313.34988576,2962368.2530887,3110475.79374316,3265988.60283602,3429070.97583226,3600521.56279636,3780544.64849348,3969778.96484454,4168254.35565317
"10",112730.62317008,118367.2205921,124285.51011178,130499.78469842,137024.772962698,143876.010640294,151069.880729951,158623.370992865,166554.535686881,174882.258593589,183626.367548906,192807.681984101,202448.06206803,212570.461110824,223198.980075843,234358.924935601,246076.789063463,258380.627392073,271299.657715758,284864.71891937,299107.949827223
"11",1358.00038523142,1426.88944054278,1497.16672734695,1572.01085332209,1650.59704332092,1733.11239991008,1820.80750757994,1911.79092968362,2007.32295446817,2107.63100456786,2212.95387660797,2323.54230557496,2439.65956245641,2561.58208448937,2689.60012762108,2824.01846284061,2963.99268339974,3112.17598317463,3267.76828444393,3432.32785410742,3603.86802652668
"12",167778.573669734,176226.573375598,184974.09816468,194221.921975306,203932.128176646,214127.835759288,224896.311779675,236137.690797626,247941.10442836,260334.653996556,273347.846022463,287011.66223375,301358.633491609,316422.917155186,332240.378548846,348848.676219152,366217.769053411,384527.644815016,403753.004039683,424010.602113024,445206.539647804
