"","year","emIntensity"
"1","y2015","0.108114067719749"
"2","y2016","0.123090412485895"
"3","y2017","0.141110622132101"
"4","y2018","0.159417174288102"
"5","y2019","0.177981939469798"
"6","y2020","0.196787288339303"
"7","y2021","0.215823651415865"
"8","y2022","0.235087659451386"
"9","y2023","0.254580719922582"
"10","y2024","0.274307927762336"
"11","y2025","0.294277227543006"
"12","y2026","0.314498770201689"
"13","y2027","0.334984417582145"
"14","y2028","0.355747361373114"
"15","y2029","0.376801830715218"
"16","y2030","0.398162867825035"
