"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",5.26228366437564e-12,-0.000673827080613257,1.6702554290907e-06,1.44480892165424e-06,1.2413704816262e-06,1.05827573610492e-06,8.93782958105542e-07,7.46450762805807e-07,6.14577953922911e-07,4.96801310524014e-07,3.91681569726632e-07,2.98051985351058e-07,2.14770044341776e-07,1.4081228553748e-07,7.51504888700516e-08,1.70632293615761e-08
"2",1.0385581283856e-12,-0.00256975013424644,5.70648191620601e-06,4.86766151014742e-06,4.11317142984952e-06,3.436246420227e-06,2.82990820958673e-06,2.2884611022185e-06,1.80526863766128e-06,1.37506374332449e-06,9.92334659381811e-07,6.52607703127694e-07,3.51555894295003e-07,8.52608049370374e-08,-1.5012775403736e-07,-3.57358796811147e-07
"3",1.85071125091696e-11,-0.00334521115791209,8.34187036870965e-06,7.22108120875323e-06,6.20949779937818e-06,5.29893856388367e-06,4.4807348229918e-06,3.74779383793822e-06,3.0916316094004e-06,2.50550395117233e-06,1.98227734981432e-06,1.51614366163122e-06,1.10146388832e-06,7.33115959338643e-07,4.06015630855655e-07,1.16569919886983e-07
"4",-2.25791065532055e-14,-6.62923201047517e-06,1.63527737434731e-08,1.4137312825217e-08,1.21384284871917e-08,1.03397192371111e-08,8.72393723232878e-09,7.27699920136939e-09,5.98196459117376e-09,4.82555356530321e-09,3.79356416808587e-09,2.87450886585303e-09,2.05717476124738e-09,1.3314876574482e-09,6.87307553115545e-10,1.17569869970493e-10
"5",-1.05767445583022e-14,-4.04213350724999e-06,1.00791001893857e-08,8.72482748893704e-09,7.50251938711678e-09,6.40228506969322e-09,5.41364863606281e-09,4.52801774445896e-09,3.73517820344036e-09,3.02696552982175e-09,2.39475069363442e-09,1.83152027087745e-09,1.33046203084985e-09,8.85386977146944e-10,4.90159340782339e-10,1.40425330529838e-10
"6",-8.39382729989069e-12,-0.00287577050052031,7.164632592805e-06,6.20132585886501e-06,5.33190967860753e-06,4.54933888275125e-06,3.84616600938859e-06,3.2162753437516e-06,2.6523870892102e-06,2.14870242648199e-06,1.69907859697352e-06,1.29853166250249e-06,9.42209285585693e-07,6.2569588622774e-07,3.44649360960181e-07,9.59823505050639e-08
"7",2.9339863871769e-12,-0.00196957902953528,4.65421741613174e-06,4.00245542766034e-06,3.41515967847844e-06,2.88732484979119e-06,2.41373183851486e-06,1.99011719453392e-06,1.61144137242157e-06,1.27370614737103e-06,9.72689697620321e-07,7.04976927515255e-07,4.67243208915336e-07,2.56488879009018e-07,6.97303384790404e-08,-9.51445188225597e-08
"8",1.71293534911854e-13,-0.00208908723094765,3.93550284492634e-05,3.77132768066262e-05,3.61091254858382e-05,3.45612837747214e-05,3.30807338529259e-05,3.16740832926859e-05,3.0343204224589e-05,2.90883080310486e-05,2.79073270895141e-05,2.67976831329307e-05,2.57558973881938e-05,2.47781500020972e-05,2.38601948826973e-05,2.29984149818854e-05
"9",-8.58105253520591e-13,-0.0027123010716918,6.72999669683663e-06,5.82232605931404e-06,5.00320481869668e-06,4.26601527356643e-06,3.60366797473241e-06,3.01043562681708e-06,2.47941754403722e-06,2.00514963311776e-06,1.5818353766954e-06,1.20477111103037e-06,8.6938679896148e-07,5.71528776586311e-07,3.07078790829501e-07,7.31173762646975e-08
"10",-2.38925546014457e-12,-0.00213945558806849,4.39560245570243e-06,3.70844015581094e-06,3.09172379834959e-06,2.5395612725989e-06,2.04597074747112e-06,1.6061069800944e-06,1.21438225965213e-06,8.6636460144493e-07,5.57437260493426e-07,2.83881185208362e-07,4.2094000472781e-08,-1.71164975540372e-07,-3.59107276127341e-07,-5.23987309906243e-07
