"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",10353092.2618748,10870948.1613558,11414487.5240177,11985203.7670033,12584455.7375906,13213670.2323886,13874345.3643658,14568054.1720994,15296448.3318398,16061262.1197659,16864316.5072064,17707523.5206519,18592890.8091198,19522526.3610508,20498643.6112732,21523566.6274434
"2",800208.190311898,840527.213739679,882541.229840841,926655.82331948,972976.021825247,1021612.10443065,1072679.86351967,1126300.88267143,1182602.82259976,1241719.72861363,1303792.34757401,1368968.46427593,1437403.25156111,1509259.64187319,1584708.71381716,1663930.10027425
"3",2200523.05117507,2310549.20342327,2426076.66417673,2547380.49699737,2674749.5215755,2808486.99773191,2948911.34823962,3096356.91503049,3251174.76120903,3413733.49946358,3584420.17404856,3763641.18313918,3951823.24233496,4149414.40406351,4356885.12434433,4574729.38079446
"4",6603678.99060337,6933873.51661739,7280566.77004962,7644594.68122941,8026823.98299414,8428164.74849502,8849572.54443297,9292050.72469918,9756652.81234335,10244485.0009124,10756708.7931572,11294543.7697362,11859270.4917371,12452233.5439447,13074844.7433337,13728586.4989844
"5",3838933.5862916,4030880.94614244,4232424.96641798,4444046.1873774,4666248.46881593,4899560.86334381,5144538.87855134,5401765.79447029,5671854.05513724,5955446.72837196,6253219.03497659,6565879.95790827,6894173.9255741,7238882.59155504,7600826.68965233,7980867.99358737
"6",4837819.08222368,5079725.96382018,5333711.62512355,5600396.56329831,5880415.74136161,6174435.87196678,6483157.0024022,6807314.18268274,7147679.21582328,7505062.4939027,7880314.92806822,8274329.97785132,8688045.77266386,9122447.35420444,9578569.00310063,10057496.7214398
"7",4801954.24878081,5042490.21661928,5294597.19746756,5559309.35204788,5837256.93624278,6129101.72207507,6435538.56603738,6757297.06945288,7095143.31440587,7449881.68601664,7822356.78766066,8213455.45477523,8624108.8634596,9055294.74856464,9508039.73197823,9983421.76758656
"8",6217332.24508741,6784152.6143505,7113122.09456577,7458437.66812823,7820915.6145256,8201413.01871147,8600829.80956834,9020110.90027862,9460248.44332553,9922284.18191832,10407311.9412227,10916480.2248892,11450994.948362,12012122.3151041,12601191.8246817,13219599.453632
"9",12937545.0249025,13584649.3325056,14263872.724889,14977057.1808222,15725900.7835622,16512186.4575894,17337786.3345954,18204666.1014046,19114889.7682561,20070624.5144247,21074145.9067115,22127843.2716977,23234225.4027454,24395926.5352602,25615712.6283031,26896487.924118
"10",32216077.8056015,33838417.4827252,35529876.9242307,37305904.7294111,39170729.2614754,41128790.3105622,43184749.6557343,45343502.1708591,47610187.4545519,49990202.1093287,52489212.5599179,55113168.5234388,57868317.2406315,60761218.2970802,63798759.2587052,66988172.0671029
"11",19852286.018596,20844969.6436136,21887215.3581496,22981573.3226013,24130649.1563511,25337178.7607025,26604034.8086076,27934233.6399451,29330942.3733736,30797486.5225635,32337357.8472508,33954222.7085722,35651930.7763461,37434524.2227255,39306247.3127451,41271556.5174503
"12",17491253.3530319,18365895.075451,19284186.6654352,20248392.8048237,21260809.2198591,22323846.4215645,23440035.4523843,24612033.9027325,25842632.2404674,27134760.4629399,28491495.0595623,29916066.3487411,31411866.1717644,32982455.9578591,34631575.1938891,36363150.3669443
"13",927868.136028522,974283.59641432,1022996.89481364,1074145.84838888,1127852.24045784,1184243.94400843,1243455.22304881,1305627.05729946,1370907.47351403,1439451.90177371,1511423.54162986,1586993.75324627,1666342.46719602,1749658.6056982,1837140.54252361,1928996.56556913
"14",23569164.074181,24747624.5002329,25985005.6375207,27284255.8304238,28648468.5302689,30080891.8598701,31584936.3626163,33164183.0910192,34822392.1502169,36563511.6603495,38391687.1450358,40311271.4109368,42326834.8823027,44443176.5276994,46665335.2489598,48998601.912864
"15",2320613.69396229,2443247.86629985,2565146.12015774,2693136.64461398,2827524.02877526,2968628.08686515,3116784.62665926,3272346.24418209,3435683.16708173,3607184.13215009,3787257.31355447,3976331.29394637,4174856.08448404,4383304.19671054,4602171.76757865,4831979.7402124
"16",87611.3162978975,92461.7968094235,97066.0900649555,101900.410016519,106976.256113833,112305.702768144,117901.428109831,123776.744106888,129945.628360279,136422.757291319,143223.541143648,150364.160659164,157861.605563688,165733.71508111,173999.220366514,182677.789119792
"17",527320.721031699,553758.273226108,581443.326234102,610512.603306439,641035.315338278,673084.133773783,706735.363659733,742069.125256751,779169.544884464,818124.955149194,859028.105184759,901976.381970662,947072.041124878,994422.451274628,1044140.35053225,1096344.11268959
"18",7542719.62392548,7919865.71704776,8315858.59918619,8731651.12058276,9168233.26316236,9626644.51214909,10107976.3154122,10613374.7034276,11144043.0097977,11701244.7283925,12286306.5271781,12900621.4107249,13545652.0354246,14222934.1854867,14934080.4377366,15680783.9992486
"19",5850382.09195728,6146265.06142957,6453443.7609951,6775980.04886255,7114641.79143799,7470235.24945513,7843606.99382238,8235645.9252473,8647285.38889143,9079505.39831483,9533334.96488393,10009854.5521149,10510198.6488161,11035558.462051,11587184.7662385,12166390.8683713
"20",5069472.44085485,5326727.26633939,5592912.38198487,5872405.24024785,6165871.21439438,6474008.94332992,6797552.00161337,7137270.63802108,7493973.61744176,7868510.13964954,8261771.86637604,8674695.0425715,9108262.72434337,9563507.11460944,10041512.0409458,10543415.5110489
