"","year","GDP"
"1","y2015","335534509.13376"
"2","y2016","688358934.941726"
"3","y2017","1058804054.40369"
"4","y2018","1447750696.90855"
"5","y2019","1856123731.28682"
"6","y2020","2284894267.71627"
"7","y2021","2735081969.81359"
"8","y2022","3207757482.24723"
"9","y2023","3704044979.7917"
"10","y2024","4225124843.787"
"11","y2025","4772236472.49508"
"12","y2026","5346681231.82987"
"13","y2027","5949825553.84327"
"14","y2028","6583104189.91099"
"15","y2029","7248023626.72316"
"16","y2030","7946165673.02367"
