"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",10870746.881,11414284.2215,11984998.4308,12584248.3566,13213460.7723,13874133.8134,14567840.4991,15296232.5237,16061044.1545,16864096.364,17707301.1822,18592666.2406,19522299.5505,20498414.5298,21523335.257
"2",840218.59999,882229.52972,926341.00636,972658.05637,1021290.95915,1072355.5073,1125973.28305,1182271.94701,1241385.54386,1303454.82113,1368627.56261,1437058.94101,1508911.88756,1584357.4824,1663575.35652
"3",2310549.20368,2426076.664,2547380.4972,2674749.52172,2808486.99784,2948911.3478,3096356.91536,3251174.7614,3413733.49896,3584420.17384,3763641.1826,3951823.24224,4149414.40408,4356885.12408,4574729.38076
"4",6933862.94011,7280556.0885,7644583.8876,8026813.0834,8428153.7397,8849561.4242,9292039.5018,9756641.4705,10244473.5458,10756697.2238,11294532.0857,11859258.6875,12452221.6272,13074832.7043,13728574.342
"5",4030880.26584,4232424.2788,4444045.49274,4666247.76746,4899560.15575,5144538.16416,5401765.07187,5671853.32592,5955445.99205,6253218.29186,6565879.20637,6894173.16673,7238881.82461,7600825.91555,7980867.21195
"6",5079710.03642,5333695.53849,5600380.31529,5880399.33093,6174419.29702,6483140.26212,6807297.27506,7147662.13873,7505045.24604,7880297.50801,8274312.38395,8688028.0046,9122429.404,9578550.8742,10057478.4204
"7",5042051.96196,5294154.55992,5558862.28764,5836805.40216,6128645.67236,6435077.95584,6756831.854,7094673.44624,7449407.11892,7821877.47436,8212971.3484,8623619.91536,9054800.91168,9507540.958,9982918.0036
"8",6528198.8574,6854608.8,7197339.24,7557206.202,7935066.5121,8331819.8382,8748410.8302,9185831.37,9645122.943,10127379.087,10633748.04,11165435.442,11723707.215,12309892.578,12925387.206
"9",13584422.2788,14263643.3932,14976825.5624,15725666.8396,16511950.1848,17337547.6876,18204425.0752,19114646.3308,20070378.6432,21073897.5772,22127592.4556,23233972.0816,24395670.682,25615454.2184,26896226.9284
"10",33826881.6936,35518225.7765,37294137.0631,39158843.9167,41116786.1112,43172625.4221,45331256.6892,47597819.529,49977710.501,52476596.0305,55100425.8298,57855447.1204,60748219.4782,63785630.453,66974911.9712
