"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"Hutan.lahan.kering.primer",283156.999462428,282787.43455089,282402.452897482,281200.805360815,279164.868299026,276272.428071268,272496.766200063,267806.675258189,262166.417241544,255535.630749552,247869.194047328,239117.046917114,229223.975227247,218129.358606276,205766.88343018,192064.220367466
"Hutan.lahan.kering.sekunder...bekas.tebangan",324401.999396349,324001.527253494,322874.282988305,320931.111463633,318153.245011774,314517.235394925,309995.040223113,304554.038391494,298156.986610516,290761.923456044,282322.028265741,272785.437791381,262095.024653473,250188.138037253,236996.308833248,222444.918469757
"Hutan.rawa.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hutan.rawa.sekunder",58659.9998327565,57944.6466617008,57332.5826696295,56615.0943037913,55788.8354889038,54849.7817267938,53793.2423454038,52613.8621963811,51305.6145993229,49861.7864959024,48274.9568880148,46536.9690195743,44638.8968645053,42571.0060317566,40322.7093910873,37882.5172712823
"Hutan.mangrove.primer",77418.9998660564,77443.0841100056,77297.8223893094,76941.736348315,76370.2410512487,75577.5634611414,74556.7644606181,73299.7429307161,71797.2249372336,70038.7396515462,68012.5838546556,65705.7757601313,63103.9991844803,60191.5381641346,56951.2025849574,53364.2446392742
"Hutan.mangrove.sekunder",87391.9998259581,87149.043383201,86705.6714878533,86060.6699312147,85209.1024739837,84144.852191102,82860.6431752444,81348.044250012,79597.4577555424,77598.0950328657,75337.9404674185,72803.7048289685,69980.7689270838,66853.117706721,63403.2653322041,59612.1710628898
"Hutan.tanaman",338845.998819287,331667.295020455,322014.85470315,312676.387840087,303641.295462285,294899.341247621,286440.639006729,278255.6405774,270335.124244069,262670.18339528,255252.215737023,248072.912872647,241124.249951307,234398.476150677,227888.105331969,221585.90662173
"Perkebunan",1165558.00129792,1142942.15939367,1122027.03835667,1102851.14517145,1085412.82690703,1069715.90315823,1055769.78699507,1043589.62847178,1033196.48116075,1024617.49313267,1017886.12289851,1013042.38245742,1010133.10683209,1009212.25483285,1010341.23860046,1013589.287457
"Semak.belukar",381183.999212139,380070.405374052,379749.103841868,378267.047356393,375599.360882939,371714.661130427,366575.177418682,360136.774369397,352348.893072441,343154.41973711,332489.491772206,320283.24550094,306457.511022911,290926.45477839,273596.172973308,254364.234742383
"Semak.belukar.rawa",955909.998024249,953117.395276585,952311.654879218,948595.0439642,941905.182435806,932163.369189648,919274.885216306,903129.05050435,883599.07650079,860541.736722687,833796.880456602,803186.800093402,768515.465921735,729567.629772527,686107.805434947,637879.123028751
"Savanna...Padang.rumput",129568.999753529,128869.509320179,128421.229263452,127627.574662455,126480.665430266,124970.637995146,123085.682051973,120812.047312262,118134.025304638,115033.908997349,111491.933287654,107486.197644451,102992.57257946,97984.5901298572,92433.3193118247,86307.2262027199
"Pertanian.lahan.kering",510356.002604798,542546.672822269,576886.246229146,613713.927045123,653207.037073702,695555.566953043,740963.080561836,789647.685942861,841843.071785025,897799.622630617,957785.609894369,1022088.47037102,1091016.17386201,1164898.69132691,1244089.56527188,1328967.59406725
"Pertanian.lahan.kering..campur.semak...kebun.campur",2789148.00471033,2795924.19508004,2796320.42939282,2800605.73988826,2808894.10616123,2821314.87345817,2838013.70538307,2859153.55998256,2884915.70030383,2915500.75796993,2951129.85787455,2992045.81741103,3038514.42525698,3090825.81743254,3149295.94831096,3214268.17786147
"Sawah",418904.999343501,422940.763400217,427007.200742351,431112.746862839,435257.777718196,439442.673101705,443667.815672377,447933.592436427,452240.393679246,456588.613927043,460978.650964569,465410.90661089,469885.787098173,474403.701470075,478965.063876418,483570.291518471
"Tambak",60016.9999755709,56981.8355227122,54158.3470704885,51474.1449679785,48917.4558369736,46476.9881030376,44141.8931724212,41901.7256442294,39746.4039063719,37666.1704963308,35651.5529245208,33693.3245688773,31782.4659469267,29910.1261343778,28067.5843493145,26246.2115264594
"Pemukiman",169506.999705621,166672.823327195,164493.908821755,162208.153040511,159746.981394905,157051.49449017,154069.884745927,150755.408503569,147064.782989089,142956.906802455,138391.82751906,133329.896515967,127731.065915243,121554.291561749,114757.015265819,107294.704327643
"Transmigrasi",54042.9998882996,53885.1182568782,53839.5651940429,53629.4441536936,53251.2284361271,52700.4686226906,51971.8097119445,51058.9943367122,49954.854422835,48651.2925669824,47139.2545433316,45408.6935354246,43448.5268747145,41246.5853645183,38789.5556371634,36062.9153851752
"Lahan.terbuka",653474.998690274,651940.374978464,651962.645237413,650289.544960808,646876.271326283,641670.423598199,634612.012162763,625633.355216286,614658.885878504,601604.880907256,586379.124226937,568880.509931745,548998.592029977,526613.080560236,501593.288558056,473797.527728875
"Pertambangan",30136.0000006052,31560.9066810996,33310.4064027854,35392.3996383003,37814.5793046912,40588.6310160375,43730.1515089394,47258.6230090523,51197.4397534563,55573.9842046379,60419.7507469705,65770.5159317428,71666.5546719394,78152.9025007683,85279.664616744,93102.3730539499
"Tubuh.air",71849.999841734,71504.1642141104,70988.8120968625,70430.6066364214,69824.2620031745,69164.096713946,68444.0325528666,67657.5848539455,66797.8460404035,65857.46291245,64828.6088061806,63702.9508312589,62471.6127202448,61125.1333656312,59653.4212037745,58045.7043138152
"Rawa",121736.999748384,121381.356350269,121278.743741598,120805.426103995,119953.459210792,118712.820323085,117071.446790574,115015.243298269,112528.063077043,109591.665955383,106185.656428058,102287.403084988,97871.941160689,92911.8583816658,87377.1651203922,81235.1484974015
"Awan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bandara",478.000000211059,418.289022516312,366.001593797873,320.250299712533,280.21809065943,245.190053614996,214.540644075001,187.722514111973,164.256737350316,143.724255914817,125.758396306439,110.038321018507,96.2832987980014,84.2476910897587,73.7165652910583,64.5018562398542
