"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",-36765.2912333656,-3389.26422733765,-3507.50610096547,-3623.89916297755,-3739.86321214375,-3856.55619376904,-3974.92504779767,-4095.75736762627,-4219.70812705204,-4347.33293740325,-4479.10478655387,-4615.43501059771,-4756.68611055895,-4903.1848915626,-5055.22554761723
"2",-10834.6738386499,-998.810868277526,-1033.65656336249,-1067.95741685127,-1102.1318410584,-1136.52107966701,-1171.40419633756,-1207.01329179792,-1243.54138653126,-1281.15221847084,-1319.98517686667,-1360.16148090611,-1401.78795932241,-1444.96092108954,-1489.76706476182
"3",-38794.8927213014,-3576.36612527904,-3701.13545529684,-3823.95391269599,-3946.31967427948,-4069.45460830902,-4194.3579296698,-4321.86071148215,-4452.65408327791,-4587.32432911752,-4726.37054928122,-4870.22678562658,-5019.2755503996,-5173.86169170881,-5334.29564329461
"4",-230.708769651335,-21.2682384274969,-22.0102273023349,-22.7406145620689,-23.4683096818655,-24.2005789917615,-24.9433646895981,-25.7016090877441,-26.4794222351354,-27.2802907188318,-28.1071826094051,-28.9626791184533,-29.8490550042836,-30.7683610192629,-31.7224432979656
"5",-81.7798456144512,-7.53899931122078,-7.80201374139313,-8.06091572122415,-8.31886341337051,-8.5784325246525,-8.84172940981696,-9.11050596909396,-9.38621911009204,-9.67010472434842,-9.96321491417396,-10.2664646459276,-10.5806602542232,-10.9065286826801,-11.244724334415
"6",-73320.9488352108,-6759.2030610707,-6995.01259887239,-7227.135056738,-7458.40193507331,-7691.12252002454,-7927.18529639347,-8168.16095731591,-8415.35571531035,-8669.87762581502,-8932.66996909177,-9204.55306984746,-9486.24986735618,-9778.41210118108,-10081.6264793999
"7",-49838.7546389165,-4594.46131361683,-4754.74911509237,-4912.53068171024,-5069.73068248825,-5227.91881733682,-5388.37875373692,-5552.17814555191,-5720.2048704492,-5893.21211165642,-6071.84104845594,-6256.64928371683,-6448.12822116949,-6646.72087607137,-6852.82605580738
"8",-63367.9900420892,18726.3920995034,19213.6808226086,19675.6901820938,20123.8475986122,20567.1416917046,21012.7064027106,21466.2377740362,21932.3422445763,22414.7757240196,22916.6486933127,23440.567973534,23988.7549394359,24563.1325104234,25165.40646857
"9",-184931.199913638,-17048.1636293805,-17642.9259828194,-18228.3887477511,-18811.6935383215,-19398.6649043396,-19994.0659855144,-20601.8584241369,-21225.3367547304,-21867.2957487391,-22530.1145519621,-23215.8621989152,-23926.3620840813,-24663.2580670003,-25428.0299500593
"10",-363107.432848848,-33473.6103459552,-34641.410236922,-35790.9506006045,-36936.2538715446,-38088.7563338225,-39257.8103400983,-40451.1944177663,-41675.3773464195,-42935.8465555792,-44237.2734260421,-45583.7204699755,-46978.7678765339,-48425.6432992262,-49927.2523027831
"11",-301470.449834957,-27791.5114320709,-28761.078904658,-29715.4863781513,-30666.3760117472,-31623.2427765756,-32593.8514913684,-33584.6602784345,-34601.039856741,-35647.5461607316,-36728.0576283567,-37845.9471503976,-39004.1871969824,-40205.4575293353,-41452.170482718
"12",-1753.51074846435,-161.650052403628,-167.289566927413,-172.840903015367,-178.371777347902,-183.937417875609,-189.58298885208,-195.346054006742,-201.257852432234,-207.344883695276,-213.62970687344,-220.13194050631,-226.868873946669,-233.856094168302,-241.107632663514
"13",-156812.698437868,-14456.0168525446,-14960.3465191123,-15456.7905658081,-15951.4047822907,-16449.1280569928,-16953.9993363753,-17469.3778738938,-17998.0573022943,-18542.4074281169,-19104.4456520535,-19685.9264437308,-20288.3959219235,-20913.2480221827,-21561.7375272971
"14",-446706.96407955,-41180.3601422593,-42617.0268011297,-44031.2299731742,-45440.2205300804,-46858.0677884928,-48296.2773088065,-49764.4185064347,-51270.4494733489,-52821.1210319173,-54422.1801041326,-56078.6244968169,-57794.8586904088,-59574.8534456333,-61422.1832977163
"15",-19133.1362677818,-1763.81723469047,-1825.35184409742,-1885.92431003264,-1946.27351118195,-2007.00205790782,-2068.60275044764,-2131.48546288235,-2195.99105197687,-2262.40866477253,-2330.98445126486,-2401.93247526368,-2475.44138706457,-2551.68126018942,-2630.80519679299
"16",-13.6591912666278,-1.25919329872996,-1.30312300325993,-1.3463658297716,-1.38944926666029,-1.43280352056138,-1.47678040114573,-1.5216725176813,-1.56772321060954,-1.6151389018925,-1.66409531841341,-1.71474528006794,-1.76722346570024,-1.821651292239,-1.87813805806461
"17",-8775.56305363099,-808.988612297486,-837.211944078937,-864.993980455663,-892.673615092792,-920.527239469002,-948.780880612236,-977.622530066084,-1007.20852450057,-1037.6714837041,-1069.12430641996,-1101.66517409549,-1135.38061235062,-1170.3486285654,-1206.63944347152
"18",-256920.816442127,-23684.6357914121,-24510.9259555764,-25324.2963801271,-26134.6688135356,-26950.1351083758,-27777.3126309215,-28621.7051891691,-29487.8898236574,-30379.7492218153,-31300.5886864937,-32253.2826927492,-33240.3644380979,-34264.1176880746,-35326.598310199
"19",-65196.3036694254,-6010.22030348779,-6219.89994440135,-6426.30106815061,-6631.94141835983,-6838.87439165605,-7048.7792105359,-7263.05251951689,-7482.85579220112,-7709.17430111475,-7942.84680072338,-8184.60271825318,-8435.08487892838,-8694.87281239431,-8964.48821406296
