"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",-46468.836188702,26461.3560116657,28486.3434646315,30297.8039110771,31964.7014441793,33538.5293081684,35059.389700879,36559.8020477015,38067.8543537728,39609.0239635239,41207.7595638707,42889.1892172501,44680.1501844174,46610.5427137542,48715.063479932,51034.5125608804
"2",-73152.6538799598,41656.2706768535,44844.0674416845,47695.7235067347,50319.8042748247,52797.371894109,55191.5565550161,57553.5512687045,59927.5730254476,62353.7290376873,64870.5071878436,67517.4648447186,70336.8500250653,73375.7325990903,76688.7331307508,80340.0803628857
"3",-20167.3284027631,11484.1450874326,12362.9832539088,13149.1513777244,13872.5796539002,14555.6159801853,15215.6645988587,15866.8388285287,16521.3287817628,17190.1915259106,17884.0377318279,18613.7729060078,19391.0443147814,20228.8285909234,21142.1839635164,22148.8175478016
"4",-48065.7111578117,27370.6853812763,29465.2603585581,31338.9706034894,33063.1501198998,34691.0616726043,36264.1855740442,37816.158728996,39376.0343880875,40970.1654159017,42623.8406482612,44363.0516722712,46215.5579760733,48212.2873383183,50389.1287663173,52788.2843920043
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",-1650.10528215259,939.640992104277,1011.54816162195,1075.87300160462,1135.06442230366,1190.95094469119,1244.9565963873,1298.2361391277,1351.78697614553,1406.51380619994,1463.28480109782,1522.99225624297,1586.58916104195,1655.13727181763,1729.86866366389,1812.23214687021
"7",-38701.8738376387,22038.5132455464,23725.0372817717,25233.7239429343,26622.0104549852,27932.7832607789,29199.4417902436,30449.0700087677,31705.0612255544,32988.6344002656,34320.1517979523,35720.5414705754,37212.155018646,38819.8950400155,40572.6589173726,42504.4272440822
"8",-35314.3098042408,20109.4884374663,21648.3915053891,23025.0232565681,24291.7934269374,25487.8346717487,26643.6229298391,27783.8715518605,28929.9262181573,30101.148592617,31316.1186494387,32593.9326135478,33954.9856436429,35422.0006409179,37021.3455892531,38784.0267776128
"9",-298.487411418086,169.971583285673,182.978865340041,194.614580447747,205.321711900806,215.431020422229,225.200098302323,234.837830438786,244.524637111997,254.424168935471,264.693469603849,275.493946355337,286.997985344073,299.397647567049,312.915803152614,327.814526783453
"10",-9793.71271146346,5576.96168124431,6003.74545601959,6385.52655119644,6736.83975377544,7068.53770658955,7389.07230566917,7705.29730180445,8023.13248354603,8347.94742690382,8684.89490500455,9039.27087679148,9416.7315283146,9823.57859797353,10267.1247129984,10755.9688466916
"11",-131767.233517217,75033.935936955,80775.9991277225,85912.5842301014,90639.2461140302,95101.9992183959,99414.5575603874,103669.133337019,107945.372989281,112315.52020153,116848.901798399,121616.771037001,126695.227718466,132169.057141917,138136.645356182,144713.685253334
"12",-375716.345892861,213949.063556564,230321.775830294,244968.049785348,258445.483181635,271170.416713392,283467.090390695,295598.434643417,307791.550403322,320252.430737956,333178.751845166,346773.682618435,361254.2111382,376862.091272904,393877.857459278,412631.392266168
"13",-9714.88155066341,5532.0718250455,5955.42034768295,6334.12842569736,6682.61385132552,7011.64191591655,7329.59648130803,7643.27613148444,7958.55300725593,8280.75346094788,8614.98879482746,8966.51233805029,9340.93474873858,9744.50704159375,10184.4829837232,10669.3923326238
"14",-430959.555045546,245406.925380188,264186.988733519,280986.768003831,296445.847205304,311041.78313202,325146.490174311,339061.55870333,353047.481278547,367340.539258568,382167.473542797,397761.325994417,414370.989769324,432273.764424441,451791.432687636,473302.381334222
"15",-46800.8782615866,26650.4350734264,28689.8920200807,30514.2962165948,32193.1045409759,33778.1781477485,35309.905819022,36821.039335092,38339.8673935444,39892.0493904931,41502.2087192078,43195.6529958138,44999.4112415338,46943.597342337,49063.155913196,51399.1785860764
"16",-30953.6683421168,17626.3514485034,18975.2294241709,20181.8735097911,21292.2218053469,22340.5748363815,23353.6453787117,24353.0951131326,25357.6339592823,26384.2327763997,27449.1772872402,28569.2056769111,29762.1947050716,31048.0614190246,32449.9178748169,33994.9416755681
"17",-35588.4362711532,20265.5878596594,21816.4366101671,23203.7544297043,24480.3578838989,25685.6833731241,26850.4434121545,27999.5431867176,29154.4940560261,30334.8080201115,31559.2092529429,32846.942218216,34218.5603931216,35696.9630586252,37308.7228886202,39085.0868393269
"18",-101827.232782265,57984.8104589518,62422.1686031457,66391.6246866802,70044.2998423997,73493.031263614,76825.6950091371,80113.5509234716,83418.1482693758,86795.3156104971,90298.6274120343,93983.1468240167,97907.6823671589,102137.754498796,106749.39411916,111832.006502139
"19",-31337.8174842515,17845.1025093815,19210.7206825148,20432.3397528602,21556.4679883051,22617.8315743779,23643.4747606968,24655.3281218876,25672.3337487831,26711.6731500476,27789.8340883088,28923.7625495446,30131.5571148905,31433.3820252067,32852.6361629748,34416.8344008718
"20",-4999.44348834519,2846.89837156568,3064.76073117664,3259.65035667146,3438.98689228159,3608.31033600708,3771.93517056572,3933.36005965508,4095.60691049501,4261.41675140541,4433.41994485497,4614.31994726361,4807.00409547879,5014.68927065703,5241.10838236143,5490.65099149757
"21",-86112.6633752159,49036.2580684997,52788.8173392235,56145.6839373912,59234.6570738892,62151.1602390203,64969.5079780199,67749.9628894649,70544.5756078683,73400.5588904858,76363.2192808628,79479.1222711149,82798.0007280995,86375.263577646,90275.208222662,94573.4423555569
"22",-626357.570824101,356674.968295175,383969.953901078,408386.790208585,430855.050294157,452068.815655421,472568.628051235,492792.819452688,513119.990407277,533893.552365399,555443.051546984,578107.191186709,602247.713282902,628267.645498622,656634.66793177,687898.728182027
"23",-242885.598783932,138309.517268702,148893.821257015,158362.051822314,167074.673809769,175300.83469321,183250.142591371,191092.571755953,198974.933719152,207030.394768246,215386.744695621,224175.323937678,233536.406748216,243626.277471417,254626.290038356,266749.70070328
"24",-431377.8144501,245645.100277159,264443.390368415,281259.474252518,296733.557021202,311343.658578353,325462.054755835,339390.628233818,353390.124685353,367697.054371124,382538.37881981,398147.365584454,414773.149516941,432693.299309005,452229.910228444,473761.73571337
"25",-16843.2936978117,9591.2966118038,10325.2822473186,10981.8719714847,11586.0628042868,12156.5191979202,12707.7767820002,13251.6226800163,13798.2377863166,14356.856732218,14936.3412954673,15545.7995016732,16194.9589013141,16894.6572512481,17657.4708774846,18498.1883456838
"26",-25294.4198074987,14403.7316776109,15505.9947583424,16492.0285127453,17399.3722226499,18256.055227654,19083.9064284673,19900.6271046855,20721.5064548995,21560.4125739952,22430.6536443057,23345.9076312905,24320.7828910571,25371.5550418856,26517.1105521186,27779.6581874349
"27",-60398.9070016194,34393.7380902544,37025.760728322,39380.2468703529,41546.8341453463,43592.4520260148,45569.2242809988,47519.4187281388,49479.5433655127,51482.712957459,53560.7052266492,55746.1809558098,58074.0224378169,60583.093223323,63318.4910553477,66333.246773373
"28",-24274.9248077785,13823.1873309297,14881.023548777,15827.3150805723,16698.0881707237,17520.242470184,18314.7270084856,19098.5296448104,19886.3233575556,20691.4172466288,21526.5831282994,22404.9476689813,23340.5304513783,24348.9510972905,25448.3348387298,26659.9953171627
"29",-2199.77037696473,1252.64396264238,1348.50406504908,1434.25609500103,1513.16471689126,1587.66754888915,1659.66297522851,1730.69041908241,1802.07952712722,1875.03636159273,1950.71829294128,2030.31484401586,2115.09645806915,2206.47856684274,2306.10366796023,2415.90317572953
"30",-854972.768290894,486858.304652188,524115.728521817,557444.502790339,588113.486985007,617070.096686957,645052.166761787,672658.016237407,700404.432207681,728760.167922755,758175.051450217,789111.409770325,822063.017345312,857580.004091345,896300.74892195,938975.925838609
"31",-39585.9779871472,22541.9602153218,24267.0111365648,25810.1621847612,27230.1626649326,28570.8787099384,29866.4727273599,31144.6474278064,32429.3304610249,33742.2255221057,35104.1600544946,36536.5401698308,38062.228079736,39706.6952550554,41499.4992001488,43475.3967708417
"32",-445175.807106754,253502.27124994,272901.840814334,290255.801712715,306224.836380987,321302.254886322,335872.240112087,350246.331070941,364693.613469616,379458.162790441,394774.199622535,410882.453404934,428040.027295635,446533.368660558,466694.874972126,488915.414596592
"33",-4157.77198484139,2367.61437973061,2548.79894897875,2710.87831400137,2860.02299732689,3000.84032576372,3136.91842250786,3271.16694192681,3406.09904144539,3543.99429169742,3687.04022597611,3837.485162092,3997.73034864614,4170.45109267067,4358.75185919735,4566.28321199315
"34",-256396.669998015,146003.302921564,157176.383216634,167171.305898889,176368.587720649,185052.347749211,193443.854202478,201722.536448238,210043.372928613,218546.937620436,227368.128712334,236645.592958627,246527.407601262,257178.550553208,268790.464320295,281588.267587717
"35",-368.890866170343,210.06234160667,226.137617691635,240.517818944294,253.750413669293,266.244178696323,278.317463833903,290.22842295578,302.200031588832,314.434540584817,327.12603464031,340.473991910407,354.691458930606,370.015797381284,386.722445253555,405.135292560967
"36",-0.128525123857103,0.0731877391083014,0.0787885198393441,0.0837987201679799,0.0884090833752471,0.092762031219077,0.0969684798075026,0.101118372505699,0.105289396027646,0.109552016532937,0.113973855082061,0.118624411717887,0.12357791387824,0.128917060688683,0.134737817439933,0.14115303041864
"37",-39141.8692313919,22289.0655800672,23994.7634154985,25520.6021068608,26924.6718215796,28250.3465957071,29531.4055586859,30795.2406033385,32065.5109771494,33363.6768997083,34710.332099682,36126.6425779341,37635.2140301565,39261.2321950695,41033.922956513,42987.6532445544
