"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",62512255.1311693,65639873.0277093,68921766.4293062,72367955.0247284,75986463.0304185,79785907.5061333,83775336.3322671,87964249.9418552,92362623.8980509,96980932.69666,101830174.708793,106921898.371839,112268229.675671,117881901.213379,123776282.314635,129965411.087839
"2",24105662.6332469,25311490.6770672,26577037.964145,27905917.1009612,29301242.9335751,30766338.0417421,32304691.2136292,33919965.6638642,35616007.8245561,37396856.4798115,39266752.3929116,41230148.4176193,43291720.0856773,45456376.7599747,47729273.3286527,50115822.5062377
"3",10146567.8533831,10699885.5580633,11232580.3699585,11796508.8557124,12388863.708646,13011089.247911,13664704.300144,14351306.1628873,15072574.7863521,15830277.1618357,16626272.0392605,17462514.758405,18341062.4770793,19264079.8610359,20233844.4628023,21252753.3999742
"4",16972653.401573,17821538.0170203,18712602.31903,19648245.0316328,20630671.1371427,21662219.9395287,22745347.7066377,23882633.5323046,25076785.4964499,26330647.0933164,27647203.9958856,29029591.2002918,30481100.4564178,32005188.1552745,33605483.5079585,35285797.2193484
"5",2019625.9541275,2121914.34054899,2227944.70325047,2339407.29298182,2456449.54710642,2579351.10350122,2708405.6458007,2843921.61344035,2986222.94807054,3135649.87465255,3292559.72606847,3457327.8059238,3630348.2971457,3812035.22586222,4002823.45005753,4203169.73310997
"6",1239861.44071005,1305803.63806125,1370896.36365899,1439638.63826086,1511837.77184175,1587668.58248243,1667314.82625979,1750969.66310156,1838836.15158479,1931127.76442319,2028068.94046936,2129895.65291089,2236856.02398278,2349210.97905356,2467234.89082711,2591216.3387794
"7",14496762.6450497,15222038.4183192,15983118.4631232,16782296.2643941,17621435.1505824,18502533.3829669,19427689.1827109,20399105.6732837,21419096.1995572,22490089.7760841,23614636.9117672,24795415.662961,26035238.0443596,27337056.7013186,28703971.9718655,30139239.2470423
"8",17471903.6591094,18346296.8834036,19263571.8323559,20226790.3243514,21238173.7261173,22300130.697085,23415190.3425272,24586008.2789088,25815372.9579535,27106212.2938927,28461600.6687634,29884766.2370505,31379098.6329127,32948157.0611421,34595678.7588431,36325587.9255768
"9",897555.322725929,942534.625911767,989656.280365892,1039144.17125387,1091106.96441281,1145668.45553505,1202958.63561816,1263114.00037952,1326277.87678126,1392600.76451746,1462240.69617666,1535363.61365034,1612143.76529636,1692764.12157064,1777416.81255572,1866303.58646384
"10",7798582.33417398,8188800.73373088,8598226.30720287,9028152.08616667,9479575.60120335,9953571.88205593,10451269.7284407,10973854.3913069,11522570.4060692,12098724.5507263,12703688.9652772,13338904.4186574,14005883.7448615,14706215.4479483,15441567.4882606,16213691.2572035
