"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"Hutan.lahan.kering.primer",13910.003419003,13573.2151604234,13177.4154001904,12726.3521730645,12222.5662223225,11667.6829396836,11062.6045966623,10407.6353186567,9702.5592294513,8946.68422302339,8138.85870236012,7277.46531153003,6360.39319417289,5384.98841390207,4347.98077220395,3245.38337502786
"Hutan.lahan.kering.sekunder...bekas.tebangan",166914.040485249,162905.178377481,158196.685617528,152833.014964229,146844.300738858,140249.821248289,133060.278656553,125279.281183741,116904.269908031,107927.037900304,98333.928751641,88105.7622357057,77217.5052979913,65637.6840412249,53327.5157854041,40239.717927562
"Hutan.rawa.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hutan.rawa.sekunder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hutan.mangrove.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hutan.mangrove.sekunder",1126.00019844876,1084.91379973697,1041.63526667182,996.30284657737,948.989292462763,899.718587030695,848.476869184706,795.219452220167,739.875127772715,682.348478233249,622.520627753095,560.248664048018,495.363820654039,427.668396677912,356.931311109755,282.882077352599
"Hutan.tanaman",463449.043378759,453632.928102303,443145.916092704,432034.228431148,420328.255209038,408046.39891681,395197.603909867,381783.000341771,367796.931595552,353227.528362152,338056.927237545,322261.185916136,305809.915886867,288665.627395283,270782.76340143,252106.374976052
"Perkebunan",171551.992435403,163977.1349225,156794.935115912,149984.659412921,143526.68399098,137402.435319684,131594.333480647,126085.738823764,120860.901487639,115904.913429123,111203.663370409,106743.79386326,102512.660766924,98498.2950824039,94689.3665212243,91075.1493696915
"Semak.belukar",3472.00082460686,3382.54337254272,3278.57452229841,3161.0035198449,3030.44514869662,2887.29090137358,2731.75584114673,2563.90906676005,2383.69276032068,2190.93285419815,1985.34310793391,1766.52357544188,1533.95383722971,1286.98090806922,1024.80139026399,746.436983350633
"Semak.belukar.rawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Savanna...Padang.rumput",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pertanian.lahan.kering",880199.867598761,900038.220401818,920636.07134226,942029.160334771,964254.992945371,987352.928591691,1011364.27250313,1036332.37288918,1062302.72330186,1089323.06936004,1117443.52132601,1146716.67193546,1177197.72011444,1208944.60165968,1242018.12519395,1276482.11627048
"Pertanian.lahan.kering..campur.semak...kebun.campur",741848.94969839,757438.545431091,773668.055270248,790567.498933219,808168.384125592,826503.781062305,845608.399844876,865518.672328791,886272.83846101,907911.036208138,930475.39638358,954010.141982546,978561.692404795,1004178.77367716,1030912.53289476,1058816.65981604
"Sawah",872027.018586496,877726.641574124,883152.143676808,888325.998221027,893263.64135162,897975.176446513,902466.492145528,906739.9931052,910795.055025949,914628.280220229,918233.594996094,921602.212958512,924722.472913672,927579.550901789,930155.031786032,932426.324771497
"Tambak",71220.0088066153,67798.4759376123,64382.6222729339,60972.0892446504,57564.0457487065,54153.896619605,50735.738516533,47302.6457027821,43846.8382529769,40359.7640748914,36832.1137252391,33253.7780115885,29613.7523054864,25899.9864423274,22099.175686021,18196.4832376117
"Pemukiman",311244.064159754,296864.220747103,282526.00999773,268055.441115535,253317.511686401,238204.903953807,222630.357898647,206521.465146494,189817.097995792,172464.974463375,154420.042470628,135643.48708411,116102.242226673,95768.9429990517,74622.2996269427,52647.8998398232
"Transmigrasi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lahan.terbuka",11527.0033358095,11194.1480206773,10803.7429214903,10359.3835554308,9863.50159963999,9317.64618437726,8722.66911024404,8078.84525692937,7385.94786409039,6643.29069457842,5849.74414547298,5003.7291925718,4103.19063930694,3145.54932497572,2127.63158816991,1045.57247074668
"Pertambangan",1663.00001601606,1675.38800291548,1717.78048969306,1792.65950862406,1903.81426298709,2056.58479935338,2258.18223984746,2518.10363235015,2848.66442304697,3265.67776265606,3789.31764403131,4445.21264853203,5265.82938369946,6292.2201815793,7576.22910787994,9183.27489110143
"Tubuh.air",30486.0070495072,29400.6775417296,28217.4015247293,26942.2978040966,25579.1157838183,24129.8247896171,22595.0005150469,20974.0746575501,19265.4894218651,17466.7822236198,15574.6155734495,13584.7603131523,11492.0353187179,9290.20290886607,6971.81635435638,4528.01202424859
"Rawa",21.00000607721,20.3936070472998,19.6823632646219,18.8728250771273,17.9694225377323,16.9749778669144,15.8910428832415,14.7181183651875,13.4557911985684,12.1028111899147,10.6571204177091,9.11584220039974,7.47523236101724,5.73059215966775,3.87613978932663,1.90483403189731
"Awan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bandara",421.000001103732,368.375000894802,322.328125537751,282.037109784435,246.782470968431,215.934661993884,188.9428291991,165.324975446638,144.65935344508,126.576934248501,110.754817429783,96.9104652080544,84.7966570119448,74.1970748518243,64.9224404683193,56.8071353857646
