"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",8.52528768066629e-14,-0.000131144548914882,1.88712828428585e-05,-4.04716769975358e-06,-4.23974650858396e-06,-4.43404863979834e-06,-4.82736546443508e-06,-7.37710116004142e-06,-5.06773644154884e-06,-5.19036923636855e-06,-5.30909129177454e-06,-4.58568805161919e-06,-6.29748360408521e-06,-5.67319069203409e-06,-5.80578225333519e-06,-5.9482188784969e-06
"2",5.90066190353511e-15,-0.000535218490638392,7.72501082310422e-05,-1.63166125716908e-05,-1.70975703017565e-05,-1.78861741760355e-05,-1.9486989361826e-05,-2.98851027881685e-05,-2.04514826373597e-05,-2.09473595901718e-05,-2.14268836785637e-05,-1.84706214132596e-05,-2.54503823545282e-05,-2.28941409710986e-05,-2.34273111850588e-05,-2.3999497062346e-05
"3",-8.16725159724641e-14,-0.000348034678227189,5.43869473335174e-05,-6.87982790581855e-06,-7.19553899447859e-06,-7.52929688946336e-06,-8.40475205388623e-06,-1.50669667027127e-05,-8.68978425663759e-06,-8.83997127975266e-06,-8.97345520573575e-06,-6.83773324040285e-06,-1.12277907258053e-05,-9.32568938642481e-06,-9.43771830005089e-06,-9.55080810371642e-06
"4",-2.71475116692121e-13,-0.000499265524787555,7.23443768287939e-05,-1.49779452951373e-05,-1.57006056559965e-05,-1.64311395114698e-05,-1.79193037640071e-05,-2.76095193166934e-05,-1.87991074331701e-05,-1.92562706477978e-05,-1.96977027597368e-05,-1.69355117635849e-05,-2.34388354416516e-05,-2.10442796369319e-05,-2.15321761897463e-05,-2.20550631912094e-05
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",-3.11235195601944e-13,-0.000190402442196348,9.10011653883905e-05,4.86182974291735e-05,4.96136284590274e-05,5.04302978470443e-05,5.09413875242415e-05,4.91400494351314e-05,5.47480473014269e-05,5.56840874002806e-05,5.67192999705614e-05,5.87242880202412e-05,5.77309811221106e-05,6.0719320724584e-05,6.24635257998671e-05,6.44822771486257e-05
"7",-5.4331365795246e-13,-0.000470957507683497,6.78198147018333e-05,-1.44906447652434e-05,-1.51811638117027e-05,-1.58780033494049e-05,-1.72895293216403e-05,-2.64442990473488e-05,-1.81491797629819e-05,-1.85885924644342e-05,-1.90138764807645e-05,-1.64152099915466e-05,-2.25611402636351e-05,-2.03174195296939e-05,-2.07918726405417e-05,-2.13014296456084e-05
"8",1.28344383731882e-13,-0.000356799836609356,5.10391119781155e-05,-1.12705882615255e-05,-1.18008326468739e-05,-1.23349721042683e-05,-1.3410575799675e-05,-2.03575730889291e-05,-1.4085840821243e-05,-1.44253113963872e-05,-1.47546509418359e-05,-1.27914260690805e-05,-1.74567540007393e-05,-1.57690348434819e-05,-1.61399337105031e-05,-1.65391196556498e-05
"9",4.17171451463222e-13,-5.88643830229759e-05,8.19513061492107e-06,-2.05229332138525e-06,-2.14447964380716e-06,-2.2367172345334e-06,-2.418289244265e-06,-3.57181655975526e-06,-2.54549657507038e-06,-2.60584707282064e-06,-2.66490300813242e-06,-2.34469480746801e-06,-3.12039062190061e-06,-2.84996147205545e-06,-2.9187081402349e-06,-2.99323620788481e-06
"10",3.50083026803838e-13,-0.000221615133044512,3.18073154075397e-05,-6.90963294551418e-06,-7.23675726490777e-06,-7.56657839347773e-06,-8.23271127601763e-06,-1.25441249141966e-05,-8.64468163344438e-06,-8.85348102290994e-06,-9.05581029196775e-06,-7.83467296263426e-06,-1.072955576534e-05,-9.6775024808701e-06,-9.90430761643485e-06,-1.01481573698592e-05
"11",-1.6217582832212e-13,-0.00093164218241228,0.000118578799220276,-4.20093059653433e-05,-4.37001299039221e-05,-4.53624133264548e-05,-4.84384356243483e-05,-6.70582981564158e-05,-5.12271069783928e-05,-5.23951284619223e-05,-5.35610012452818e-05,-4.86737623488199e-05,-6.12442622570158e-05,-5.73568376345391e-05,-5.88148502796634e-05,-6.04189296716704e-05
"12",4.18267850910148e-13,-0.00100225111093162,0.000144415154379268,-3.07635090209062e-05,-3.22312929064055e-05,-3.37127548060718e-05,-3.67151367391175e-05,-5.61946211531028e-05,-3.85385100255277e-05,-3.94720370908304e-05,-4.03753504493172e-05,-3.48438105581923e-05,-4.79207546222301e-05,-4.31428528543214e-05,-4.41497111007146e-05,-4.52308482062676e-05
"13",1.96213791742172e-12,-0.000566624267718421,8.176575369473e-05,-1.72888660964082e-05,-1.81160303136193e-05,-1.89512435104699e-05,-2.06463260874535e-05,-3.16551487586148e-05,-2.16686381981977e-05,-2.21939638031265e-05,-2.27020082660737e-05,-1.95725868254862e-05,-2.69623795114157e-05,-2.42567752105735e-05,-2.48218313774811e-05,-2.54282775111142e-05
"14",3.41246128576778e-14,-0.000830231676735596,0.000119994272621315,-2.51701354132892e-05,-2.63781581878097e-05,-2.75984716084214e-05,-3.00786782830584e-05,-4.62028200086894e-05,-3.15632916707931e-05,-3.23293514066466e-05,-3.30697695843916e-05,-2.84813657262985e-05,-3.93039946465635e-05,-3.53329318834548e-05,-3.61544973872031e-05,-3.70357720642918e-05
"15",-1.20383997909146e-12,-0.000943917868815386,0.00013640313340293,-2.86358597764384e-05,-3.00097586885119e-05,-3.13975715638048e-05,-3.42178005752107e-05,-5.25506129422739e-05,-3.59072734830916e-05,-3.67786549357197e-05,-3.76209216240539e-05,-3.24045649461356e-05,-4.47097656671174e-05,-4.01957195912263e-05,-4.11305271854358e-05,-4.21333304881921e-05
"16",-1.17086808998357e-12,-0.000871633032653563,0.000126462883388669,-2.60101804112419e-05,-2.7268329597051e-05,-2.85406499960727e-05,-3.11356752806051e-05,-4.80478302414687e-05,-3.26602200210043e-05,-3.34551205514295e-05,-3.42222882521019e-05,-2.93971705793792e-05,-4.07464850899616e-05,-3.65601269370786e-05,-3.74063622782502e-05,-3.83128774741476e-05
"17",6.6644606500077e-14,-0.000397823514610396,5.57698673901215e-05,-1.35405952597792e-05,-1.41555800816948e-05,-1.47719235035631e-05,-1.59920092760095e-05,-2.37752464201985e-05,-1.68247543374165e-05,-1.72252085104355e-05,-1.76162676147804e-05,-1.54459139834391e-05,-2.06780495049918e-05,-1.88367449945733e-05,-1.92884674626306e-05,-1.97773587127727e-05
"18",5.20430053219112e-14,-0.000484513043238427,6.36012292399507e-05,-2.01921311649227e-05,-2.10312383928247e-05,-2.18606175998806e-05,-2.34252876784404e-05,-3.30460275374718e-05,-2.47413119851415e-05,-2.53119142480985e-05,-2.58782309079666e-05,-2.33052421822122e-05,-2.97919912628484e-05,-2.77023126218458e-05,-2.83965651865315e-05,-2.91573402749672e-05
"19",5.24853598082853e-14,-0.000282157840894509,3.94068444684828e-05,-9.73068278682502e-06,-1.01700158870533e-05,-1.06099224086947e-05,-1.14780296285891e-05,-1.70031732434325e-05,-1.20790693004303e-05,-1.23659983905012e-05,-1.26465102832497e-05,-1.11096783792497e-05,-1.48245612030232e-05,-1.35239220233845e-05,-1.3849324230275e-05,-1.42018226879737e-05
"20",-6.17523610371706e-14,-7.54405597905121e-05,1.06815141842661e-05,-2.47723010009978e-06,-2.59164059157561e-06,-2.70658599903792e-06,-2.93601973309522e-06,-4.40850016956759e-06,-3.08652087351784e-06,-3.16041969505309e-06,-3.23236049032798e-06,-2.81905864067631e-06,-3.80842258197882e-06,-3.45549063886108e-06,-3.53760521443777e-06,-3.62624551415537e-06
"21",-1.66196917339434e-13,-0.000843176211572851,0.000122278598421306,-2.5208517402999e-05,-2.64267130107962e-05,-2.76584715309803e-05,-3.01697563293369e-05,-4.65316231886182e-05,-3.16484189390506e-05,-3.24184078380955e-05,-3.31616617399604e-05,-2.84949257378397e-05,-3.94751893787086e-05,-3.54274522111116e-05,-3.62478933750208e-05,-3.71269202677229e-05
"22",3.38845271286026e-13,-0.000746724378803094,0.000107980274940887,-2.25909964562095e-05,-2.36763505112145e-05,-2.47729023452386e-05,-2.70026232042455e-05,-4.15031171207493e-05,-2.8334010590467e-05,-2.90219415507958e-05,-2.96867180257514e-05,-2.55589173370771e-05,-3.52914838336374e-05,-3.17178635725816e-05,-3.24549253417966e-05,-3.32454145416127e-05
