"","year","GDP"
"1","y2015","1527207863.84463"
"2","y2016","3147029500.24752"
"3","y2017","4844328171.86505"
"4","y2018","6626732232.76784"
"5","y2019","8498542855.06779"
"6","y2020","10464287143.8958"
"7","y2021","12528780477.8914"
"8","y2022","14697716118.264"
"9","y2023","16975661436.577"
"10","y2024","19368145063.9006"
"11","y2025","21880979877.9445"
"12","y2026","24519906918.9808"
"13","y2027","27292095515.7017"
"14","y2028","30203933532.3099"
"15","y2029","33262529296.768"
"16","y2030","36475359137.3744"
