"","year","emission"
"1","y2015","-5519169.0626"
"2","y2016","-13800230.7590773"
"3","y2017","-21845900.130913"
"4","y2018","-29849056.0864672"
"5","y2019","-37811120.7360348"
"6","y2020","-45663574.7044331"
"7","y2021","-53371766.216594"
"8","y2022","-61005851.7075754"
"9","y2023","-68061385.57004"
"10","y2024","-74196351.2500735"
"11","y2025","-79353449.616293"
"12","y2026","-83468431.1116264"
"13","y2027","-86471804.9850126"
"14","y2028","-88288343.7901524"
"15","y2029","-88835928.0615639"
"16","y2030","-88024125.6662802"
