"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0,-102783.120988379,-94217.023634503,-97164.0040203593,-98485.8092219115,-99143.0413394673,-99472.5176705924,-100528.850007624,-96988.9588235124,-90846.1139116359,-84286.2019311978,-77197.5931194242,-69887.7194467718,-61848.2185957489,-53389.8203038925,-44401.3635249713
"2",0,-161804.312183251,-148319.301396694,-152958.527428715,-155039.353411409,-156073.988105316,-156592.659813148,-158255.570294081,-152682.966014924,-143012.712865371,-132685.900084887,-121526.796721102,-110019.371488948,-97363.3449685751,-84047.8773648858,-69897.9756015594
"3",0,-44862.0259978586,-41098.6171609382,-42391.3142088572,-42974.3633384716,-43267.2930972954,-43417.1338390848,-43885.5314265894,-42340.2453062644,-39652.2556949887,-36778.4161572708,-33669.1040384944,-30458.5096512352,-26922.6487580999,-23196.9559530662,-19231.4886690637
"4",0,-106315.204173147,-97454.7377428725,-100502.989412975,-101870.217704687,-102550.035212169,-102890.833842248,-103983.466424998,-100321.928901173,-93967.9886527666,-87182.6490443899,-79850.4442502858,-72289.3709304112,-63973.597231286,-55224.5309340843,-45927.190983805
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,-4080.41855786873,-3642.96219020721,-3758.3903441254,-3810.03537174653,-3836.07204556544,-3850.65788302496,-3906.12663352772,-3762.58902079906,-3511.10018037098,-3240.15801595413,-2941.87446812661,-2635.96813862525,-2292.6895274742,-1926.51415215033,-1531.61926306566
"7",0,-85603.5938718471,-78469.2637397104,-80923.6755850646,-82024.5497162571,-82571.9297379955,-82846.3362948562,-83726.1095612388,-80777.8880607564,-75661.7795297275,-70198.3139915178,-64294.5198260339,-58206.4437836183,-51510.6929572484,-44466.0606824825,-36979.9657287572
"8",0,-78110.7356014293,-71600.8713664719,-73840.4492561955,-74844.9641327432,-75344.4321692201,-75594.8199700284,-76397.5869514777,-73707.4224531919,-69039.1254385426,-64053.8754866489,-58666.8387531697,-53111.6502672297,-47001.9766170149,-40573.9590020809,-33743.1198125134
"9",0,-660.215969345479,-605.192593488243,-624.122194880664,-632.612664400822,-636.834321722116,-638.950676235969,-645.735909660946,-622.997811744001,-583.53992903916,-541.403062554749,-495.870170682779,-448.916008534604,-397.275167283466,-342.943584738393,-285.207230207499
"10",0,-21662.4396337882,-19857.0598654633,-20478.161694938,-20756.7436820135,-20895.261077632,-20964.7010905193,-21187.3323522536,-20441.2693936113,-19146.6112260491,-17764.0525343253,-16270.06637286,-14729.4467104532,-13035.0517532314,-11252.3705052842,-9357.97480686241
