"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",-46468.836188702,-76321.7649767135,-65730.6801698715,-66866.2001092822,-66521.1077777322,-65604.5120312989,-64413.1279697134,-63969.0479599229,-58921.1044697396,-51237.089948112,-43078.4423673271,-34308.4039021741,-25207.5692623544,-15237.6758819947,-4674.7568239605,6633.1490359091
"2",-73152.6538799598,-120148.041506397,-103475.23395501,-105262.80392198,-104719.549136585,-103276.616211207,-101401.103258132,-100702.019025377,-92755.3929894764,-80658.9838276832,-67815.3928970437,-54009.3318763831,-39682.5214638832,-23987.6123694848,-7359.14423413501,10442.1047613263
"3",-20167.3284027631,-33377.880910426,-28735.6339070293,-29242.1628311328,-29101.7836845713,-28711.6771171101,-28201.4692402261,-28018.6925980608,-25818.9165245016,-22462.0641690781,-18894.3784254429,-15055.3311324866,-11067.4653364539,-6693.82016717657,-2054.77198954982,2917.3288787379
"4",-48065.7111578117,-78944.5187918711,-67989.4773843144,-69164.0188094856,-68807.0675847872,-67858.9735395645,-66626.6482682035,-66167.3076960023,-60945.894513086,-52997.8232368649,-44558.8083961287,-35487.3925780146,-26073.8129543379,-15761.3098929678,-4835.40216776691,6861.09340819926
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",-1650.10528215259,-3140.77756576446,-2631.41402858527,-2682.51734252078,-2674.97094944287,-2645.12110087425,-2605.70128663765,-2607.89049440002,-2410.80204465353,-2104.58637417105,-1776.87321485631,-1418.88221188365,-1049.3789775833,-637.552255656569,-196.645488486442,280.612883804553
"7",-38701.8738376387,-63565.0806263007,-54744.2264579387,-55689.9516421303,-55402.5392612719,-54639.1464772166,-53646.8945046126,-53277.0395524712,-49072.826835202,-42673.1451294619,-35878.1621935655,-28573.9783554584,-20994.2887649723,-12690.797917233,-3893.40176510992,5524.46151532496
"8",-35314.3098042408,-58001.247163963,-49952.4798610828,-50815.4259996274,-50553.1707058057,-49856.5974974714,-48951.1970401894,-48613.7153996172,-44777.4962350345,-38937.9768459256,-32737.7568372102,-26072.9061396219,-19156.6646235869,-11579.975976097,-3552.61341282773,5040.90696509941
"9",-298.487411418086,-490.244386059806,-422.213728148202,-429.507614432918,-427.290952500016,-421.403301299887,-413.750577933645,-410.89807922216,-378.473174632004,-329.115760103689,-276.709592950901,-220.376224327442,-161.918023190531,-97.8775197164171,-30.0277815857791,42.6072965759535
"10",-9793.71271146346,-16085.4779525439,-13853.3144094437,-14092.6351437416,-14019.9039282381,-13826.7233710425,-13575.6287848502,-13482.0350504491,-12418.1369100653,-10798.6637991452,-9079.15762932074,-7230.79549606851,-5312.7151821386,-3211.47315525784,-985.245792285879,1397.99403982924
"11",-131767.233517217,-216418.32796979,-186386.201888577,-189606.087157203,-188627.541858106,-186028.438951385,-182650.145162941,-181390.909987609,-167076.939504369,-145288.114557792,-122153.418071802,-97285.0589662695,-71478.6927694086,-43208.0198406072,-13255.7607316644,18808.9861870613
"12",-375716.345892861,-617087.428873759,-531454.905823721,-540635.971022937,-537845.781898402,-530434.793438402,-520802.048304918,-517211.510552249,-476397.170370594,-414269.299211542,-348303.858576285,-277395.114784136,-203811.771245104,-123201.79222742,-37796.9989246387,53631.2660678608
