sector;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
Tanaman Pangan;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
Tanaman Hortikultura;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
Perkebunan;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
Peternakan;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
Jasa Pertanian dan Perburuan ;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
Kehutanan dan Penebangan Kayu;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
Perikanan;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
Pertambangan Minyak Gas dan Panas Bumi;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
Pertambangan Bijih Logam;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
Pertambangan dan Penggalian Lainnya;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
Industri Batubara dan Pengilangan Migas;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
Industri Makanan dan Minuman;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
Pengolahan Tembakau;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
Industri Tekstil dan Pakaian Jadi;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
Industri Kulit Barang dari Kulit dan Alas Kaki;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
Industri Kimia Farmasi dan Obat Tradisional;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
Industri Karet Barang dari Karet dan Plastik;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
Industri Barang Galian bukan Logam;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
Industri Logam Dasar;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
Industri Mesin dan Perlengkapan YTDL;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
Industri Alat Angkutan;-0.02;-0.04;-0.06;-0.08;-0.10;-0.12;-0.14;-0.16;-0.18;-0.20;-0.22;-0.24;-0.26;-0.28;-0.30
