Sektor;HCOAL;BCOAL;COKE;CRUDE;DIESEL;GASOLINE;JETFUEL;LFO;HFO;NAPHTA;OTHPETRO;NATGAS;OTHGAS;WASTE;BIOGASOL;BIODIESEL;BIOGAS;OTHRENEW;ELECTR;HEATPROD;NUCLEAR;HYDRO;GEOTHERM;SOLAR;WIND;OTHSOURC
Tanaman Pangan;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Tanaman Hortikultura;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Perkebunan;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Peternakan;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Jasa Pertanian dan Perburuan ;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Kehutanan dan Penebangan Kayu;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Perikanan;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Pertambangan Minyak Gas dan Panas Bumi;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Pertambangan Bijih Logam;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Pertambangan dan Penggalian Lainnya;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Industri Batubara dan Pengilangan Migas;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Industri Makanan dan Minuman;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Pengolahan Tembakau;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Industri Tekstil dan Pakaian Jadi;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Industri Kulit Barang dari Kulit dan Alas Kaki;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Industri Kimia Farmasi dan Obat Tradisional;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Industri Karet Barang dari Karet dan Plastik;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Industri Barang Galian bukan Logam;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Industri Logam Dasar;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
