id.sector;sector;OUTPUT_2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
1;Tanaman Pangan;71036654;74588486;78317911;82233806;86345496;90662771;95195910;99955705;104953491;110201165;115711223;121496784;127571624;133950205;140647715;147680101
2;Tanaman Hortikultura;26201807;27511898;28887492;30331867;31848460;33440883;35112928;36868574;38712003;40647603;42679983;44813982;47054681;49407415;51877786;54471675
3;Perkebunan;12526627;13152958;13810606;14501137;15226193;15987503;16786878;17626222;18507533;19432910;20404555;21424783;22496022;23620823;24801865;26041958
4;Peternakan;25716142;27001949;28352046;29769648;31258131;32821037;34462089;36185194;37994453;39894176;41888885;43983329;46182495;48491620;50916201;53462011
5;Jasa Pertanian dan Perburuan ;2493365;2618034;2748935;2886382;3030701;3182236;3341348;3508415;3683836;3868028;4061429;4264501;4477726;4701612;4936693;5183528
6;Kehutanan dan Penebangan Kayu;1441699;1513784;1589474;1668947;1752395;1840014;1932015;2028616;2130047;2236549;2348376;2465795;2589085;2718539;2854466;2997189
7;Perikanan;17055015;17907766;18803154;19743312;20730477;21767001;22855351;23998119;25198025;26457926;27780822;29169863;30628356;32159774;33767763;35456151
8;Pertambangan Minyak Gas dan Panas Bumi;23934115;25130820;26387361;27706729;29092066;30546669;32074003;33677703;35361588;37129667;38986151;40935458;42982231;45131343;47387910;49757305
9;Pertambangan Bijih Logam;1602777;1682916;1767062;1855415;1948186;2045595;2147875;2255269;2368032;2486434;2610755;2741293;2878358;3022276;3173390;3332059
10;Pertambangan dan Penggalian Lainnya;10831364;11372933;11941579;12538658;13165591;13823871;14515064;15240817;16002858;16803001;17643151;18525309;19451574;20424153;21445361;22517629
11;Industri Batubara dan Pengilangan Migas;72136880;75743724;79530910;83507455;87682828;92066970;96670318;101503834;106579026;111907977;117503376;123378545;129547472;136024846;142826088;149967392
12;Industri Makanan dan Minuman;236167188;247975547;260374324;273393041;287062693;301415827;316486619;332310949;348926497;366372822;384691463;403926036;424122338;445328455;467594877;490974621
13;Pengolahan Tembakau;4446956;4669303;4902769;5147907;5405302;5675567;5959346;6257313;6570179;6898688;7243622;7605803;7986093;8385398;8804668;9244901
14;Industri Tekstil dan Pakaian Jadi;254269549;266983027;280332178;294348787;309066226;324519537;340745514;357782790;375671929;394455526;414178302;434887217;456631578;479463157;503436315;528608131
15;Industri Kulit Barang dari Kulit dan Alas Kaki;19430062;20401565;21421643;22492725;23617361;24798230;26038141;27340048;28707050;30142403;31649523;33231999;34893599;36638279;38470193;40393703
16;Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya;14557919;15285815;16050106;16852611;17695242;18580004;19509004;20484455;21508677;22584111;23713317;24898982;26143932;27451128;28823685;30264869
17;Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman;46540446;48867468;51310842;53876384;56570203;59398713;62368649;65487081;68761435;72199507;75809482;79599956;83579954;87758952;92146899;96754244
18;Industri Kimia Farmasi dan Obat Tradisional;116907879;122753273;128890937;135335484;142102258;149207371;156667740;164501127;172726183;181362492;190430617;199952147;209949755;220447243;231469605;243043085
19;Industri Karet Barang dari Karet dan Plastik;72788818;76428259;80249672;84262156;88475263;92899027;97543978;102421177;107542236;112919347;118565315;124493581;130718260;137254173;144116881;151322725
20;Industri Barang Galian bukan Logam;27233883;28595577;30025356;31526624;33102955;34758103;36496008;38320808;40236848;42248691;44361125;46579182;48908141;51353548;53921225;56617287
21;Industri Logam Dasar;58075981;60979780;64028769;67230208;70591718;74121304;77827369;81718738;85804674;90094908;94599654;99329636;104296118;109510924;114986470;120735794
22;Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik;435030812;456782353;479621470;503602544;528782671;555221805;582982895;612132040;642738642;674875574;708619352;744050320;781252836;820315478;861331252;904397814
23;Industri Mesin dan Perlengkapan YTDL;165660171;173943179;182640338;191772355;201360973;211429022;222000473;233100496;244755521;256993297;269842962;283335110;297501866;312376959;327995807;344395597
24;Industri Alat Angkutan;263190139;276349646;290167129;304675485;319909259;335904722;352699959;370334956;388851704;408294289;428709004;450144454;472651677;496284261;521098474;547153397
25;Industri Furnitur;10294809;10809549;11350027;11917528;12513405;13139075;13796029;14485830;15210121;15970627;16769159;17607617;18487998;19412398;20383017;21402168
26;Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan;14970753;15719290;16505255;17330518;18197044;19106896;20062241;21065353;22118620;23224551;24385779;25605068;26885321;28229587;29641067;31123120
27;Ketenagalistrikan;69968107;73466512;77139838;80996830;85046671;89299005;93763955;98452153;103374760;108543498;113970673;119669207;125652667;131935300;138532065;145458669
28;Pengadaan Gas dan Produksi Es;16891684;17736269;18623082;19554236;20531948;21558545;22636473;23768296;24956711;26204547;27514774;28890513;30335038;31851790;33444380;35116599
29;Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang;1685103;1769359;1857827;1950718;2048254;2150666;2258200;2371110;2489665;2614149;2744856;2882099;3026204;3177514;3336390;3503209
30;Konstruksi;391130765;410687303;431221668;452782752;475421889;499192984;524152633;550360265;577878278;606772192;637110801;668966341;702414658;737535391;774412161;813132769
31;Perdagangan Mobil Sepeda Motor dan Reparasinya;47776047;50164849;52673092;55306746;58072084;60975688;64024472;67225696;70586981;74116330;77822146;81713253;85798916;90088862;94593305;99322970
32;Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor;286123636;300429817;315451308;331223874;347785067;365174321;383433037;402604689;422734923;443871669;466065253;489368515;513836941;539528788;566505228;594830489
33;Angkutan Rel;2744959;2882206;3026317;3177633;3336514;3503340;3678507;3862432;4055554;4258332;4471248;4694811;4929551;5176029;5434830;5706572
34;Angkutan Darat;142101899;149206994;156667343;164500711;172725746;181362033;190430135;199951642;209949224;220446685;231469019;243042470;255194594;267954323;281352040;295419642
35;Angkutan Laut;637673;669557;703035;738186;775096;813851;854543;897270;942134;989240;1038703;1090638;1145170;1202428;1262549;1325677
36;Angkutan Sungai Danau dan Penyeberangan;2760;2898;3043;3195;3355;3522;3699;3883;4078;4282;4496;4720;4956;5204;5464;5738
37;Angkutan Udara;24375798;25594588;26874318;28218034;29628935;31110382;32665901;34299196;36014156;37814864;39705607;41690887;43775432;45964203;48262413;50675534
38;Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir;5581617;5860697;6153732;6461419;6784490;7123714;7479900;7853895;8246590;8658919;9091865;9546458;10023781;10524970;11051219;11603780
39;Penyediaan Akomodasi;10487757;11012145;11562753;12140890;12747935;13385331;14054598;14757328;15495194;16269954;17083452;17937624;18834506;19776231;20765042;21803295
40;Penyediaan Makan Minum;65617528;68898404;72343325;75960491;79758515;83746441;87933763;92330451;96946974;101794323;106884039;112228241;117839653;123731635;129918217;136414128
41;Informasi dan Komunikasi;62809506;65949981;69247480;72709854;76345347;80162614;84170745;88379282;92798246;97438158;102310066;107425570;112796848;118436691;124358525;130576451
42;Jasa Perantara Keuangan;37359452;39227424;41188796;43248235;45410647;47681179;50065238;52568500;55196925;57956772;60854610;63897341;67092208;70446818;73969159;77667617
43;Asuransi dan Dana Pensiun;4837446;5079319;5333284;5599949;5879946;6173943;6482641;6806773;7147111;7504467;7879690;8273675;8687358;9121726;9577813;10056703
44;Jasa Keuangan Lainnya;7152570;7510198;7885708;8279993;8693993;9128693;9585127;10064384;10567603;11095983;11650782;12233321;12844987;13487237;14161598;14869678
45;Jasa Penunjang Keuangan;852375;894994;939743;986731;1036067;1087870;1142264;1199377;1259346;1322313;1388429;1457850;1530743;1607280;1687644;1772026
46;Real Estate;19127223;20083584;21087763;22142152;23249259;24411722;25632308;26913924;28259620;29672601;31156231;32714042;34349745;36067232;37870593;39764123
47;Jasa Perusahaan;9939816;10436807;10958647;11506579;12081908;12686004;13320304;13986319;14685635;15419917;16190913;17000458;17850481;18743005;19680155;20664163
48;Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib;58870932;61814478;64905202;68150463;71557986;75135885;78892679;82837313;86979179;91328138;95894545;100689272;105723735;111009922;116560418;122388439
49;Jasa Pendidikan;66781905;70121000;73627050;77308402;81173822;85232513;89494139;93968846;98667288;103600653;108780685;114219720;119930706;125927241;132223603;138834783
50;Jasa Kesehatan dan Kegiatan Sosial;23733682;24920366;26166384;27474704;28848439;30290861;31805404;33395674;35065458;36818731;38659667;40592651;42622283;44753397;46991067;49340620
51;Jasa lainnya;48430666;50852199;53394809;56064549;58867777;61811166;64901724;68146810;71554151;75131858;78888451;82832874;86974517;91323243;95889405;100683876
52;Lainnya;28100;29505;30980;32529;34156;35863;37657;39539;41516;43592;45772;48060;50464;52987;55636;58418
