ID,Sektor,Total_Kons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
1,Tanaman Pangan ,321.6148884,0,0,0,0,56.06175141,121.9015123,0,141.5313571,0,0,0,0,0,0,1.23E-02,1.13E-01,0,0,1.994580969,0,0,0,0,0,0,0
2,Tanaman Hortikultura,129.8274439,0,0,0,0,22.63064973,49.20842388,0,57.13247424,0,0,0,0,0,0,4.98E-03,0.045759677,0,0,0.805159706,0,0,0,0,0,0,0
3,Perkebunan,68.10303755,0,0,0,0,11.87126498,25.81305646,0,29.96974231,0,0,0,0,0,0,0.002610591,0.024003962,0,0,0.422359249,0,0,0,0,0,0,0
4,Peternakan ,88.92061577,0,0,0,0,15.50004567,33.70353156,0,39.13082348,0,0,0,0,0,0,3.41E-03,0.031341437,0,0,0.551465042,0,0,0,0,0,0,0
5,"Jasa Pertanian, dan Perburuan  ",13.96117971,0,0,0,0,2.43361926,5.291698185,0,6.143822264,0,0,0,0,0,0,0.000535173,0.004920832,0,0,0.086584,0,0,0,0,0,0,0
6,Kehutanan dan Penebangan Kayu,8.407588449,0,0,0,0,1.465554459,3.186723575,0,3.699882829,0,0,0,0,0,0,3.22E-04,0.002963384,0,0,0.052141914,0,0,0,0,0,0,0
7,Perikanan ,100.1977502,0,0,0,0,17.46580014,37.97789753,0,44.09349216,0,0,0,0,0,0,3.84E-03,3.53E-02,0,0,0.621403215,0,0,0,0,0,0,0
8,"Pertambangan Minyak, Gas dan Panas Bumi",3459.48711,1992.919617,0.238024622,0,0,7.269559936,15.80704006,0,283.7549353,13.79927709,0,3.809250851,1138.784312,0,0,0.001598637,0.014699212,0,0,3.08879552,0,0,0,0,0,0,0
9,Pertambangan Bijih Logam,173.2370146,99.79729186,0.011919303,0,0,0.364029933,0.791552141,0,14.20929066,0.691011555,0,0.190751757,57.02567701,0,0,8.01E-05,0.000736077,0,0,0.154674291,0,0,0,0,0,0,0
10,Pertambangan dan Penggalian Lainnya,1618.121031,932.1570054,0.111332297,0,0,3.400223052,7.393495955,0,132.7219365,6.454396202,0,1.781717555,532.6485651,0,0,7.48E-04,0.006875327,0,0,1.444735833,0,0,0,0,0,0,0
