ID,Sektor,Total_Kons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
1,Tanaman Pangan ,319.1106014,0,0,0,0,53.25866384,121.9015123,0,141.5313571,0,0,0,0,0,0,1.23E-02,1.13E-01,0,0,2.293768114,0,0,0,0,0,0,0
2,Tanaman Hortikultura,128.8166887,0,0,0,0,21.49911724,49.20842388,0,57.13247424,0,0,0,0,0,0,4.98E-03,0.045759677,0,0,0.925933662,0,0,0,0,0,0,0
3,Perkebunan,67.57282819,0,0,0,0,11.27770173,25.81305646,0,29.96974231,0,0,0,0,0,0,0.002610591,0.024003962,0,0,0.485713136,0,0,0,0,0,0,0
4,Peternakan ,88.22833466,0,0,0,0,14.72504339,33.70353156,0,39.13082348,0,0,0,0,0,0,3.41E-03,0.031341437,0,0,0.634184798,0,0,0,0,0,0,0
5,"Jasa Pertanian, dan Perburuan  ",13.85248635,0,0,0,0,2.311938297,5.291698185,0,6.143822264,0,0,0,0,0,0,0.000535173,0.004920832,0,0,0.0995716,0,0,0,0,0,0,0
6,Kehutanan dan Penebangan Kayu,8.342131725,0,0,0,0,1.392276736,3.186723575,0,3.699882829,0,0,0,0,0,0,3.22E-04,0.002963384,0,0,0.059963201,0,0,0,0,0,0,0
7,Perikanan ,99.41765352,0,0,0,0,16.59251013,37.97789753,0,44.09349216,0,0,0,0,0,0,3.84E-03,3.53E-02,0,0,0.714613697,0,0,0,0,0,0,0
8,"Pertambangan Minyak, Gas dan Panas Bumi",3061.003028,1594.335694,0.238024622,0,0,6.906081939,15.80704006,0,283.7549353,13.79927709,0,3.809250851,1138.784312,0,0,0.001598637,0.014699212,0,0,3.552114848,0,0,0,0,0,0,0
9,Pertambangan Bijih Logam,153.282556,79.83783349,0.011919303,0,0,0.345828436,0.791552141,0,14.20929066,0.691011555,0,0.190751757,57.02567701,0,0,8.01E-05,0.000736077,0,0,0.177875435,0,0,0,0,0,0,0
10,Pertambangan dan Penggalian Lainnya,1431.736329,745.7256043,0.111332297,0,0,3.230211899,7.393495955,0,132.7219365,6.454396202,0,1.781717555,532.6485651,0,0,7.48E-04,0.006875327,0,0,1.661446208,0,0,0,0,0,0,0
11,Industri Batubara dan Pengilangan Migas,11701.7111,0,0,0,0,1952.979859,4470.093337,0,5189.914089,0,0,0,0,0,0,4.52E-01,4.16E+00,0,0,84.11181593,0,0,0,0,0,0,0
12,Industri Makanan dan Minuman ,37512.30859,3321.304897,2.765460467,0,0,206.9972311,473.7872431,0,2734.351591,320.4855592,0,865.3683454,4361.708418,0,0,4.79E-02,0.440582112,0,23597.97662,1627.074746,0,0,0,0,0,0,0
13,Pengolahan Tembakau,1707.90473,151.216292,0.12590915,0,0,9.424414411,21.57114518,0,124.4927887,14.59144505,0,39.39951208,198.5850123,0,0,2.18E-03,2.01E-02,0,1074.39655,74.0793807,0,0,0,0,0,0,0
14,Industri Tekstil dan Pakaian Jadi,50953.09912,9636.76108,8.023979317,0,0,506.902215,1160.227128,0,9871.181656,616.2355702,0,253.1920881,20395.29594,0,0,0.117338991,1.078913216,0,895.9013234,7608.181883,0,0,0,0,0,0,0
15,"Industri Kulit, Barang dari Kulit dan Alas Kaki ",4904.854855,927.6553376,0.772405498,0,0,48.79549689,111.6859575,0,950.2211663,59.32016071,0,24.37281469,1963.295031,0,0,0.011295304,0.103858506,0,86.24138731,732.3799434,0,0,0,0,0,0,0
