Year,Energi,Limbah,Kehutanan,Pertanian
2010,29.20347565,4323.8,2365366.379,4659342.655
2011,30.61181849,1249.7,2333401.363,4820647.843
2012,32.16784671,951.5,2303388.473,4946938.663
2013,33.88307988,746.8,2275155.519,5081409.194
2014,35.77250547,605.4,2248547.418,5198310.302
2015,37.85418141,507.6,2223424.405,5315211.692
2016,39.97829419,439.7,2199660.445,5432113.351
2017,42.13862509,392.4,2177141.805,5549015.27
2018,44.33001545,359.6,2155765.784,5665917.436
2019,46.54880012,337,2135439.584,5782819.84
2020,48.79322691,321.6,2116079.285,5899722.472
2021,51.05864659,439.3,2097608.95,6016625.322
2022,53.45867385,438.6,2079959.802,6133528.382
2023,56.00275497,440.9,2063069.507,6250431.643
2024,58.70108776,445.9,2046881.521,6367335.097
2025,61.56468775,452.8,2031344.509,6484238.735
2026,64.60546083,461.4,2016411.824,6601142.551
2027,67.83628278,471.4,2002041.041,6718046.537
2028,71.27108659,482.7,1988193.54,6834950.686
2029,74.92495809,476.4,1974834.13,6951854.991
2030,78.81424112,529.6,1961930.713,7068759.446
